zp	lmass	Fu	e_Fu	Fr	e_Fr
  2.567	  9.34	 4.22743e-01	 5.64586e-02	 7.20365e-01	 1.82447e-01
  2.102	  8.81	 1.45453e-01	 2.17847e-03	 2.39389e-01	 1.99693e-02
  2.294	 10.36	 4.52758e-01	 7.04371e-02	 2.59921e+00	 1.28893e-01
  2.377	  9.42	 1.16665e-01	 2.90462e-03	 3.69512e-01	 4.41140e-02
  2.532	  9.94	 6.71803e-02	 3.50370e-02	 3.21111e-01	 1.48862e-01
  2.864	 11.09	 1.98842e+00	 1.10376e-01	 9.99681e+00	 2.47075e-01
  2.603	 10.25	 8.39269e-01	 5.80925e-02	 2.16629e+00	 2.24019e-01
  2.245	  9.62	 3.49330e-01	 2.74124e-02	 7.90283e-01	 2.61416e-02
  2.787	  9.57	 1.70719e-01	 3.14063e-02	 3.41642e-01	 4.46586e-02
  2.118	  9.43	 5.94711e-01	 9.25849e-03	 1.00584e+00	 1.54308e-02
  2.864	  9.54	 5.22538e-01	 3.50370e-02	 1.25280e+00	 1.34702e-01
  2.394	  9.63	 3.40352e-01	 4.01201e-02	 8.23995e-01	 2.52339e-02
  2.360	  9.26	 2.94091e-01	 1.52493e-02	 6.36803e-01	 9.44003e-03
  2.639	  9.37	 2.98181e-01	 1.30708e-02	 6.83509e-01	 4.97417e-02
  2.149	  9.37	 1.92115e-01	 1.72462e-02	 4.15238e-01	 1.37970e-02
  2.411	  8.96	 2.55201e-01	 2.75939e-02	 3.30040e-01	 7.24341e-02
  2.981	  8.70	 3.24465e-01	 3.34032e-02	 3.55392e-01	 1.03477e-01
  2.149	  9.06	 4.73094e-01	 2.54155e-03	 6.70391e-01	 1.32523e-02
  2.428	  9.82	 1.07776e+00	 1.08923e-02	 1.92241e+00	 3.46740e-02
  2.181	  9.05	 3.29848e-01	 2.61416e-02	 5.71735e-01	 1.76093e-02
  2.087	 10.68	 3.80687e-01	 6.08156e-02	 1.97848e+00	 3.91398e-01
  2.621	 10.80	 4.86347e-01	 1.65201e-01	 3.24730e+00	 4.22260e-01
  2.462	  9.26	 4.20223e-01	 1.18000e-02	 7.99498e-01	 8.53233e-03
  2.149	  9.28	 9.82838e-01	 6.11787e-02	 1.25648e+00	 7.49756e-02
  2.394	  9.26	 4.02269e-01	 1.65201e-02	 6.71607e-01	 6.35387e-02
  2.514	  9.43	 5.30519e-01	 1.47047e-02	 9.24103e-01	 7.33418e-02
  2.377	  9.62	 5.47155e-01	 3.70340e-02	 1.37520e+00	 1.52493e-02
  2.942	 10.04	 9.26074e-01	 1.36154e-02	 1.84389e+00	 2.72309e-01
  2.676	  9.16	 6.32039e-01	 6.13602e-02	 8.35969e-01	 1.27803e-01
  2.165	  8.86	 1.55312e-01	 1.50677e-02	 2.94396e-01	 1.85170e-02
  2.883	  9.32	 1.74124e-01	 1.21631e-02	 3.46224e-01	 1.12554e-02
  2.411	 10.31	 1.67709e+00	 3.73970e-02	 3.72671e+00	 1.82084e-01
  2.445	  9.64	 4.91542e-01	 4.90155e-03	 9.03044e-01	 5.90002e-02
  2.394	 10.19	 5.90899e-01	 6.42648e-02	 1.77174e+00	 1.48317e-01
  2.327	 10.28	 7.95061e-01	 4.57478e-02	 2.65606e+00	 8.44156e-02
  2.603	  9.94	 4.39648e-01	 3.23139e-02	 1.39124e+00	 1.35791e-01
  2.694	 10.83	 3.42038e-01	 2.19662e-02	 2.18599e+00	 1.78634e-01
  2.165	  9.98	 1.05301e+00	 2.26924e-02	 2.33616e+00	 2.17847e-02
  2.532	 10.20	 3.85861e-01	 8.45972e-02	 1.03930e+00	 1.55942e-01
  2.411	  9.54	 6.22323e-01	 1.74277e-02	 9.51330e-01	 4.32063e-02
  2.514	 10.59	 1.07743e+00	 5.04678e-02	 4.13317e+00	 2.22930e-01
  2.603	  9.52	 3.14906e-01	 1.99693e-02	 7.39398e-01	 6.29940e-02
  2.411	  9.14	 3.26298e-01	 1.61570e-02	 4.95936e-01	 2.43262e-02
  2.428	  8.99	 2.33009e-01	 1.08923e-03	 4.66915e-01	 6.35387e-03
  2.479	 10.17	 1.56045e+00	 3.15878e-02	 3.56031e+00	 1.56124e-01
  2.864	 10.00	 3.91975e-01	 3.24955e-02	 1.25540e+00	 1.19453e-01
  2.394	  9.65	 1.04537e+00	 3.59447e-02	 1.72824e+00	 1.25262e-02
  2.621	 10.07	 8.10510e-01	 3.37663e-02	 2.20587e+00	 1.63022e-01
  2.118	  9.87	 7.25241e-01	 1.36154e-02	 1.68852e+00	 1.21631e-02
  2.011	 10.85	 5.50179e-01	 3.54001e-02	 2.93279e+00	 8.18741e-02
  2.922	  9.49	 5.08240e-01	 1.74277e-02	 9.46341e-01	 6.71694e-03
  2.149	  9.73	 6.15494e-01	 2.19662e-02	 1.33472e+00	 1.37970e-02
  2.102	  8.79	 1.55263e-01	 1.16185e-02	 3.96412e-01	 1.79724e-02
  2.245	  9.11	 3.37066e-01	 4.72001e-03	 4.93968e-01	 6.53540e-03
  2.102	  8.85	 1.07771e-01	 2.16031e-02	 2.57375e-01	 4.59294e-02
  2.550	  9.25	 5.36844e-01	 8.53233e-03	 7.66839e-01	 3.15878e-02
  2.102	  8.98	 2.51892e-01	 8.89541e-03	 4.92690e-01	 3.41293e-02
  2.011	  9.89	 1.21228e+00	 1.41600e-02	 2.56018e+00	 5.93633e-02
  2.394	  8.56	 1.93457e-01	 9.98465e-03	 3.56112e-01	 1.28893e-02
  2.731	  9.27	 2.81723e-01	 3.08616e-02	 4.33613e-01	 4.41140e-02
  2.961	  9.68	 4.44135e-01	 4.72001e-03	 8.97573e-01	 2.75939e-02
  2.087	  8.76	 1.63830e-01	 2.36001e-03	 2.66735e-01	 5.62771e-03
  2.056	  9.31	 3.27450e-01	 1.45231e-02	 6.60940e-01	 5.22832e-02
  2.603	  9.10	 2.70125e-01	 2.72309e-02	 3.42903e-01	 1.48317e-01
  2.245	  9.12	 4.12330e-01	 1.27077e-03	 4.30850e-01	 3.23139e-02
