zp	lmass	Fu	e_Fu	Fr	e_Fr
  0.454	  8.10	 1.31187e-02	 1.02025e-01	 9.48019e-02	 8.04218e-02
  0.856	  8.85	 7.13739e-01	 1.97878e-02	 1.66854e+00	 2.21478e-02
  0.005	  4.84	 2.19212e-01	 1.65201e-02	 6.69705e-01	 5.80925e-03
  0.425	  7.76	 1.03305e-01	 5.26463e-03	 2.32867e-01	 3.26770e-03
  0.922	  8.73	 5.48400e-01	 8.89541e-03	 9.99024e-01	 4.53848e-03
  1.000	  8.50	 8.61526e-02	 1.68831e-02	 2.46356e-01	 1.76093e-02
  0.932	  8.82	 2.48397e-01	 1.81539e-02	 6.74352e-01	 1.05293e-02
  0.847	  8.74	 4.55060e-01	 1.37970e-02	 8.93615e-01	 6.53540e-03
  0.362	  9.29	 1.54492e-01	 8.20556e-02	 1.34527e-01	 3.41293e-02
  0.425	  8.15	 1.20956e-01	 2.36001e-03	 3.51899e-01	 3.63078e-04
  0.932	  8.92	 6.33161e-01	 1.81539e-02	 1.33268e+00	 1.76093e-02
  0.296	  7.49	 1.69043e-01	 2.92278e-02	 4.69420e-01	 1.96062e-02
  0.783	  8.65	 6.89565e-02	 4.90155e-03	 3.93308e-01	 1.12554e-02
  0.105	  7.84	 6.95000e-02	 1.37970e-02	 1.29576e-01	 1.39785e-02
  0.856	  8.19	 2.13860e-01	 5.44617e-03	 3.40007e-01	 3.08616e-03
  0.663	  7.83	 8.91934e-02	 1.28893e-02	 1.52677e-01	 6.89848e-03
  0.766	  8.91	 5.52133e-01	 2.32370e-02	 1.20409e+00	 1.34339e-02
  0.731	  8.61	 2.95248e-01	 1.01662e-02	 7.78276e-01	 4.72001e-03
  0.513	  8.27	 1.69369e-01	 9.98465e-03	 5.13548e-01	 2.72309e-03
  0.875	  8.37	 2.00800e-01	 1.54308e-02	 4.50257e-01	 1.08923e-02
  0.838	  8.98	 5.78136e-02	 1.37970e-02	 2.95832e-01	 2.85016e-02
  0.078	  6.92	 4.28461e-02	 1.50677e-02	 1.23846e-01	 1.34339e-02
  0.528	  8.17	 7.96993e-02	 3.44924e-03	 1.78508e-01	 7.80618e-03
  0.865	  8.89	 6.14216e-01	 3.04986e-02	 1.46814e+00	 1.28893e-02
  0.961	  8.84	 4.68008e-01	 1.34339e-02	 9.00466e-01	 7.62464e-03
  0.369	  8.21	 2.52022e-01	 1.07108e-02	 7.92523e-01	 1.50677e-02
  0.847	  8.98	 6.00106e-01	 2.01508e-02	 1.28322e+00	 5.99079e-03
  0.766	  8.63	 2.02892e-01	 1.19816e-02	 4.66112e-01	 7.98772e-03
  0.105	  8.74	 3.85498e+00	 1.70828e-01	 1.59737e+01	 3.14970e-01
  0.838	  9.21	 9.02260e-02	 9.62157e-03	 4.08539e-01	 4.73817e-02
  0.309	  8.43	 3.74188e-01	 2.16031e-02	 1.79910e+00	 3.44924e-02
  0.051	  6.64	 9.73746e-01	 6.35387e-03	 2.33388e+00	 4.17540e-03
  0.342	  9.53	 1.47972e+00	 6.78956e-02	 7.99919e+00	 1.37062e-01
  0.731	  8.43	 1.31408e-01	 9.80311e-03	 3.02543e-01	 4.90155e-03
  0.483	 10.78	 1.96983e+00	 0.00000e+00	 3.21517e+01	 0.00000e+00
  0.941	  8.69	 4.28015e-01	 2.77755e-02	 8.24216e-01	 7.98772e-03
  0.847	  7.96	 2.88390e-01	 5.80925e-03	 3.79867e-01	 1.27077e-03
  0.191	  9.71	 8.11461e-01	 2.06954e-02	 1.11084e+01	 8.93172e-02
  0.227	  8.41	 4.55028e-01	 2.63232e-02	 1.89439e+00	 3.66709e-02
  0.990	  8.97	 5.43339e-01	 1.32523e-02	 1.16890e+00	 5.62771e-03
  0.051	  6.30	 1.16593e+00	 7.26156e-04	 1.93159e+00	 3.63078e-04
  0.740	  8.31	 6.35122e-01	 1.12554e-02	 9.45648e-01	 1.28893e-02
  0.922	 10.24	 7.22703e-01	 0.00000e+00	 5.05234e+00	 0.00000e+00
  0.748	  9.02	 8.08589e-01	 2.32370e-02	 1.86886e+00	 1.30708e-02
  0.961	  8.60	 2.48197e-01	 1.21631e-02	 5.64100e-01	 1.12554e-02
  1.000	  9.29	 6.83730e-01	 3.39478e-02	 1.68536e+00	 4.33878e-02
  0.810	 10.18	 9.91817e-01	 0.00000e+00	 7.21610e+00	 0.00000e+00
  0.971	  8.91	 1.20199e-01	 1.97878e-02	 4.25488e-01	 1.23447e-02
  0.697	  8.15	 1.27323e-01	 9.25849e-03	 3.03084e-01	 8.71387e-03
  0.941	  8.62	 3.19142e-01	 4.35694e-03	 6.54713e-01	 1.81539e-04
  0.932	 10.05	 2.10798e+00	 1.28167e-01	 6.86377e+00	 1.80994e-01
  0.439	  8.59	 3.09277e-01	 3.81232e-02	 7.54694e-01	 6.44464e-02
  0.369	  8.05	 5.22215e-01	 5.80925e-03	 1.02400e+00	 1.74277e-02
  0.722	  9.23	 9.39178e-01	 2.99539e-02	 2.93143e+00	 2.26924e-02
  0.801	  8.88	 2.26651e-01	 1.57939e-02	 6.49391e-01	 1.47047e-02
  0.810	  8.31	 2.17472e-01	 1.03477e-02	 4.47138e-01	 3.99386e-03
  0.932	  8.45	 3.28831e-01	 1.10739e-02	 5.64666e-01	 1.27077e-02
  0.951	  8.41	 3.13068e-01	 6.17233e-03	 4.84034e-01	 2.54155e-03
