zp	lmass	Fu	e_Fu	Fr	e_Fr
  1.529	  8.81	 4.20630e-01	 1.74277e-02	 6.58417e-01	 1.45231e-03
  1.000	  8.50	 8.61526e-02	 1.68831e-02	 2.46356e-01	 1.76093e-02
  1.156	  8.61	 3.02140e-01	 6.53540e-03	 5.27128e-01	 1.14370e-02
  1.645	  9.00	 3.34619e-01	 1.01662e-02	 4.79728e-01	 1.39785e-02
  1.864	  9.87	 2.05463e-01	 4.21171e-02	 7.80571e-01	 1.03296e-01
  1.454	  9.01	 3.39823e-01	 1.41600e-02	 6.26364e-01	 8.53233e-03
  1.010	  9.37	 1.42375e+00	 1.39785e-02	 3.56688e+00	 4.17540e-03
  1.922	  9.43	 3.52901e-01	 3.92124e-02	 7.52076e-01	 5.22832e-02
  1.041	  8.43	 1.76959e-01	 1.32523e-02	 3.56644e-01	 1.52493e-02
  1.981	  9.39	 6.07241e-01	 1.67016e-02	 1.05251e+00	 2.32370e-02
  1.199	  9.14	 4.73414e-01	 4.22986e-02	 1.14452e+00	 6.57171e-02
  1.289	  8.86	 4.67775e-02	 1.23447e-02	 2.23744e-01	 2.12401e-02
  1.658	 10.19	 3.87873e-01	 4.52032e-02	 2.37438e+00	 1.02751e-01
  1.156	  9.33	 1.22757e-01	 3.72155e-02	 3.25884e-01	 6.06340e-02
  1.908	  9.37	 5.37610e-02	 2.03324e-02	 3.34425e-01	 6.26310e-02
  1.370	  9.36	 5.89141e-01	 2.99539e-02	 1.49125e+00	 1.27077e-02
  1.592	  8.49	 1.66188e-01	 1.14370e-02	 2.71155e-01	 2.54155e-02
  1.504	 10.38	 9.19836e-01	 4.46586e-02	 4.61650e+00	 7.75172e-02
  1.879	  9.15	 5.65120e-01	 1.25625e-01	 8.83460e-01	 1.56487e-01
  1.794	  9.50	 3.22440e-01	 2.97724e-02	 7.54810e-01	 3.01355e-02
  1.529	  9.40	 3.35732e-01	 1.94247e-02	 7.92596e-01	 4.50217e-02
  1.618	 10.47	 1.50170e-01	 3.01355e-02	 1.25433e+00	 1.07108e-01
  1.739	  9.62	 6.58460e-01	 6.33571e-02	 1.51334e+00	 1.14370e-01
  1.981	  8.83	 2.29806e-01	 3.68524e-02	 2.87716e-01	 2.88647e-02
  1.822	  9.55	 8.67136e-01	 3.81232e-02	 1.77951e+00	 3.77601e-02
  1.323	  8.93	 2.19977e-01	 1.36154e-02	 4.51658e-01	 5.26463e-03
  1.041	  8.36	 8.53582e-02	 1.94247e-02	 2.49640e-01	 4.12094e-02
  1.082	  9.07	 1.35443e+00	 2.94093e-02	 2.22621e+00	 4.19355e-02
  1.504	  9.16	 7.16734e-01	 2.86832e-02	 1.06305e+00	 2.54155e-03
  1.300	  8.81	 4.37469e-01	 1.30708e-02	 6.41018e-01	 5.62771e-03
  1.370	  8.58	 2.22364e-01	 4.35694e-03	 2.98992e-01	 4.35694e-03
  1.822	 10.20	 7.16698e-01	 4.32063e-02	 2.89250e+00	 2.00964e-01
  1.382	  9.75	 1.38874e+00	 5.22832e-02	 3.45422e+00	 1.47047e-02
  1.346	  9.47	 3.99219e-01	 4.08463e-02	 1.03954e+00	 1.21631e-02
  1.145	  8.55	 1.89290e-01	 1.81539e-02	 3.53391e-01	 1.67016e-02
  1.020	  8.45	 8.92449e-02	 4.90155e-03	 3.07679e-01	 1.27077e-02
  1.580	 10.13	 1.38260e+00	 6.22679e-02	 4.15579e+00	 6.89848e-02
  1.822	 10.55	 1.00317e+00	 1.24536e-01	 4.25012e+00	 2.45622e-01
  1.780	  9.72	 1.38048e+00	 3.59447e-02	 2.73848e+00	 4.64740e-02
  1.822	  8.88	 4.07551e-01	 4.01201e-02	 5.69375e-01	 5.62771e-02
  1.124	 10.16	 1.18419e+00	 7.37048e-02	 5.30584e+00	 1.75730e-01
  1.592	 10.12	 1.60893e-01	 5.02863e-02	 8.54896e-01	 1.20542e-01
  1.766	  8.84	 2.10479e-01	 2.17847e-02	 4.12014e-01	 3.46740e-02
  1.698	 11.29	 1.50230e+00	 0.00000e+00	 1.25350e+01	 0.00000e+00
  1.645	 10.47	 4.99334e-01	 6.89848e-02	 3.41119e+00	 1.39785e-01
  1.766	  8.67	 2.53238e-01	 1.97878e-02	 4.12537e-01	 4.57478e-02
  1.766	  9.47	 3.83196e-01	 3.41293e-02	 8.50961e-01	 9.71234e-02
  1.051	  9.72	 1.36115e+00	 3.52186e-02	 4.13604e+00	 1.37425e-01
  1.658	 10.64	 4.32753e-01	 6.37202e-02	 3.27879e+00	 1.88256e-01
  1.289	  8.98	 5.99082e-01	 2.30555e-02	 1.10968e+00	 3.72155e-02
  1.300	  9.31	 3.23707e-01	 2.30555e-02	 9.05030e-01	 2.43262e-02
  1.632	  9.11	 3.97737e-01	 1.19816e-02	 6.36563e-01	 7.44310e-03
  1.937	 10.68	 2.54648e-01	 6.69879e-02	 2.06526e+00	 2.38179e-01
  1.780	 11.03	 1.60103e+00	 1.21994e-01	 9.54561e+00	 4.42229e-01
  1.442	  9.87	 2.23806e-01	 3.08616e-02	 1.42953e+00	 6.86218e-02
  1.030	  8.85	 1.33492e-01	 2.21478e-02	 4.93303e-01	 3.83047e-02
  1.000	  9.29	 6.83730e-01	 3.39478e-02	 1.68536e+00	 4.33878e-02
  1.454	  8.38	 1.02483e-01	 1.05293e-02	 1.90591e-01	 9.62157e-03
  1.752	  9.95	 1.16420e+00	 6.77141e-02	 2.92238e+00	 1.41419e-01
  1.145	  8.87	 1.77195e-01	 3.21324e-02	 4.12351e-01	 4.57478e-02
  1.177	  8.91	 4.12544e-01	 8.45972e-02	 8.92892e-01	 8.60495e-02
  1.766	  9.80	 5.41110e-01	 3.06801e-02	 1.57624e+00	 5.99079e-02
  1.605	  9.27	 3.40336e-01	 2.55970e-02	 8.52878e-01	 9.98465e-03
  1.000	 10.33	 7.08914e-01	 3.88494e-02	 4.79085e+00	 8.75018e-02
  1.836	  8.71	 2.19045e-01	 7.80618e-03	 3.07577e-01	 2.90462e-03
  1.335	  9.14	 5.06505e-01	 2.05139e-02	 9.45183e-01	 1.27077e-03
  1.277	  9.46	 9.28470e-01	 4.81078e-02	 2.02390e+00	 3.97570e-02
  1.061	  9.10	 3.88254e-01	 4.33878e-02	 1.04237e+00	 7.02556e-02
  1.618	  9.87	 2.09802e+00	 1.34702e-01	 4.30030e+00	 1.24173e-01
  1.020	  9.33	 4.38032e-01	 2.06954e-02	 1.23282e+00	 4.21171e-02
  1.879	 11.02	 3.46294e-01	 9.49449e-02	 3.25953e+00	 4.38235e-01
  1.479	  9.61	 9.42017e-02	 2.74124e-02	 4.36772e-01	 1.97878e-02
  1.277	  9.08	 3.90839e-01	 3.30401e-02	 9.63181e-01	 2.45078e-02
  1.177	  9.41	 5.65868e-01	 3.04986e-02	 1.60896e+00	 5.17386e-02
  1.382	  8.78	 2.93662e-01	 1.61570e-02	 5.31811e-01	 7.44310e-03
  1.491	  9.67	 1.48144e+00	 5.46432e-02	 3.27352e+00	 1.54308e-02
  1.780	  8.27	 2.28408e-01	 1.32523e-02	 2.69751e-01	 2.25108e-02
