zp	lmass	Fu	e_Fu	Fr	e_Fr
  3.443	 10.88	 1.04055e+00	 3.03170e-02	 2.64461e+00	 3.92124e-02
  4.933	 11.15	 5.74226e+00	 1.34339e-01	 1.60561e+01	 4.31881e-01
  3.933	 10.86	 2.85033e+00	 2.19662e-02	 7.60147e+00	 4.27887e-01
  3.860	 10.38	 6.75696e-01	 2.08770e-02	 2.30409e+00	 1.90616e-01
  3.248	 10.01	 6.04972e-01	 2.66862e-02	 1.03131e+00	 1.25262e-02
  3.102	 10.31	 3.17246e-01	 3.84863e-02	 1.09807e+00	 2.15850e-01
  4.238	  8.88	 2.13284e-01	 3.08616e-03	 2.85172e-01	 1.03477e-02
  3.143	 10.57	 2.31272e-01	 6.97110e-02	 9.60022e-01	 1.35791e-01
  3.143	  9.28	 1.21141e-01	 8.35080e-03	 3.08430e-01	 8.16926e-03
  3.021	  9.88	 4.15532e-01	 3.26770e-03	 9.69440e-01	 8.44156e-02
  3.206	  9.99	 4.98001e-01	 1.36154e-02	 7.82796e-01	 1.02388e-01
  9.372	  9.89	 1.01211e+00	 4.68371e-02	 8.80530e-01	 5.24648e-02
  7.246	  9.12	 8.41749e-01	 1.81539e-02	 6.72446e-01	 2.12401e-02
  3.001	  9.97	 3.95323e-01	 2.46893e-02	 1.05895e+00	 2.14398e-01
  3.399	  9.42	 3.02332e-01	 1.27077e-03	 4.57747e-01	 7.62464e-03
  3.061	  9.22	 7.34797e-02	 7.26156e-03	 2.43225e-01	 1.72462e-02
  4.816	  9.80	 2.04373e-01	 9.22218e-02	 7.14512e-01	 3.58540e-01
  8.673	  9.23	 9.92942e-02	 6.97110e-02	 1.97212e-01	 7.00741e-02
  4.212	 10.22	 1.23555e-01	 3.88494e-02	 3.01405e-01	 5.91817e-02
  3.510	  9.15	 4.68160e-02	 4.57478e-02	 1.51991e-01	 8.62310e-02
  3.510	  9.77	 5.66493e-01	 5.08309e-03	 7.87077e-01	 1.10739e-02
  3.333	  9.91	 2.95946e-01	 1.52493e-02	 8.24427e-01	 1.36154e-02
  3.312	 10.12	 6.04303e-01	 4.15724e-02	 1.10029e+00	 2.34185e-02
  9.017	  9.52	 2.49215e-01	 1.25080e-01	 4.40207e-01	 1.37425e-01
  4.397	  9.05	 1.25034e+00	 6.33027e-01	 3.21784e+00	 1.30726e+00
  3.647	  9.41	 1.47714e-01	 1.27077e-03	 3.96220e-01	 2.66862e-02
  3.399	  9.94	 3.62039e-01	 4.53848e-03	 6.72664e-01	 1.14370e-02
  4.701	  9.65	 1.59235e-01	 1.63385e-03	 2.02948e-01	 3.44924e-03
  7.083	 10.38	 5.30588e-01	 2.76121e-01	 4.56066e+00	 2.17847e+00
  3.355	 10.08	 2.91396e-02	 1.41600e-02	 2.44697e-01	 2.31825e-01
  3.983	  9.24	 1.72055e-01	 4.53848e-03	 6.61176e-01	 7.40679e-02
  3.001	  9.61	 4.65248e-01	 7.98772e-03	 1.08701e+00	 8.09664e-02
  3.377	  9.37	 8.72575e-02	 4.17540e-03	 3.21670e-01	 3.48555e-02
  3.021	  8.76	 1.42884e-01	 2.92278e-02	 2.44726e-01	 5.64586e-02
  3.021	  8.85	 2.21416e-01	 3.34032e-02	 3.58551e-01	 9.98465e-02
  3.021	  9.18	 1.60588e-01	 3.06801e-02	 2.22761e-01	 4.70186e-02
  4.758	  9.93	 9.53229e-02	 1.34339e-02	 3.21605e-01	 3.88494e-02
  3.041	  9.20	 6.12912e-01	 2.03324e-02	 6.36414e-01	 1.57031e-01
  4.033	  8.86	 1.23832e-01	 1.08923e-03	 4.90773e-01	 5.82740e-02
  3.164	 10.04	 3.93907e-01	 2.17847e-02	 8.16897e-01	 8.44156e-02
  4.758	 10.49	 3.44675e-01	 2.16031e-02	 3.08491e+00	 5.51516e-01
  3.860	  9.55	 2.97491e-01	 5.82740e-02	 7.18085e-01	 1.92976e-01
  3.578	  9.50	 8.67201e-02	 6.71694e-03	 3.09460e-01	 4.72001e-02
  4.083	  9.75	 1.00524e+00	 2.36001e-03	 1.59357e+00	 5.80925e-02
  4.588	 10.01	 3.68099e-01	 8.71387e-03	 5.04809e-01	 1.03477e-02
  3.933	  8.66	 3.19622e-01	 3.81232e-03	 2.34562e-01	 1.30708e-02
  4.290	  9.20	 3.63590e-01	 2.54155e-03	 8.41201e-01	 5.39171e-02
  9.424	  9.48	 1.14057e+00	 8.89541e-03	 1.08919e+00	 5.79109e-02
  3.933	  9.26	 1.23766e-01	 2.37816e-02	 5.94166e-01	 7.18895e-02
  3.082	  9.38	 1.27954e-01	 3.63078e-02	 3.66574e-01	 3.46740e-02
  3.041	 10.31	 1.40925e+00	 3.26770e-02	 3.01537e+00	 2.42536e-01
  3.958	 10.11	 8.36339e-01	 3.92124e-02	 2.90758e+00	 3.67980e-01
  3.693	  9.61	 1.89839e-01	 2.94093e-02	 2.54920e-01	 1.06926e-01
  4.160	  9.39	 1.84233e-01	 8.11479e-02	 6.14909e-01	 2.59056e-01
  3.624	  9.37	 5.03179e-02	 2.63232e-02	 3.42768e-01	 2.20025e-01
  4.212	  9.70	 2.57215e-01	 4.17540e-03	 1.31067e+00	 1.48317e-01
  3.933	  9.81	 3.86540e-01	 8.82280e-02	 8.52547e-01	 1.22357e-01
  3.670	  9.91	 3.49260e-01	 1.56124e-02	 5.26285e-01	 1.63748e-01
  7.539	  9.96	 4.90181e-01	 2.65047e-02	 3.94027e-01	 1.57939e-02
  3.532	  9.13	 1.87923e-01	 3.63078e-04	 2.49587e-01	 2.36001e-03
  8.673	  8.85	 1.82893e-01	 1.35065e-01	 3.38246e-01	 1.37970e-01
  3.377	 10.02	 3.13207e-01	 7.62464e-03	 6.73713e-01	 1.32523e-02
  3.532	  9.23	 2.84719e-01	 3.63078e-04	 2.94837e-01	 2.72309e-03
  4.186	  9.52	 5.33536e-01	 4.17540e-03	 1.02368e+00	 5.73663e-02
  4.083	  9.31	 1.57707e-01	 7.62464e-03	 8.00540e-01	 2.25471e-01
  8.673	  9.81	 3.19608e+00	 1.02388e-01	 2.60014e+00	 8.31449e-02
  8.673	  8.66	 5.67121e-01	 2.62687e-01	 3.85001e-01	 1.56850e-01
  3.836	  9.53	 7.43849e-02	 5.71848e-02	 5.11871e-01	 3.38389e-01
  3.041	  9.92	 1.77272e-01	 9.44003e-03	 7.16963e-01	 1.43416e-01
  3.269	  9.34	 1.63681e-01	 1.19816e-02	 2.91101e-01	 4.55663e-02
  3.399	  9.58	 1.33442e-01	 4.90155e-03	 2.12750e-01	 5.26463e-03
  4.904	  8.93	 1.41820e-01	 5.99079e-03	 1.69008e-01	 9.07695e-03
  3.227	  9.68	 3.14252e-01	 2.95909e-02	 5.16137e-01	 9.34926e-02
