zp	lmass	Fu	e_Fu	Fr	e_Fr
  0.766	  8.99	 8.92504e-01	 3.06801e-02	 2.27609e+00	 7.66095e-02
  0.439	  9.12	 1.24020e+00	 3.61263e-02	 3.72493e+00	 2.99539e-02
  0.005	  6.18	 4.78450e-01	 2.37816e-02	 2.42764e+00	 5.97263e-02
  0.349	  8.04	 3.65946e-01	 8.89541e-03	 8.24060e-01	 5.08309e-03
  0.150	  6.88	 1.98831e-01	 1.85170e-02	 6.14753e-01	 2.50524e-02
  0.783	 10.83	 5.92612e+00	 1.90253e-01	 3.11033e+01	 1.53981e+00
  0.513	  8.31	 4.20070e-01	 1.05293e-02	 9.75823e-01	 6.80771e-02
  0.094	  6.32	 1.02185e-01	 4.35694e-03	 2.27769e-01	 1.83354e-02
  0.432	  9.26	 3.69581e-02	 1.83354e-02	 1.12861e-02	 3.70158e-01
  0.342	  7.70	 4.03496e-01	 1.81539e-03	 7.74692e-01	 3.63078e-03
  0.941	  8.68	 2.52736e-01	 1.19816e-02	 8.81920e-01	 6.62617e-02
  0.663	  9.34	 5.24375e-01	 2.26924e-02	 2.34799e+00	 9.14957e-02
  0.980	  9.53	 3.04660e-01	 5.83503e+00	 1.10231e+00	 2.80732e+00
  0.922	  8.87	 5.48172e-01	 4.33878e-02	 1.63903e+00	 1.48862e-02
  0.783	  9.32	 2.97724e+00	 5.24648e-02	 6.08366e+00	 2.32551e-01
  0.932	  8.94	 6.94187e-01	 2.59601e-02	 1.30503e+00	 1.41600e-02
  0.110	  8.56	 1.84762e-01	 2.14216e-02	 4.80000e-01	 1.39604e-01
  0.005	  6.13	 1.02705e+00	 1.65201e-02	 6.80811e+00	 2.39632e-02
  0.819	 10.13	 2.94649e+00	 8.30904e-01	 8.25905e+00	 2.04812e+00
  0.239	  7.02	 1.27690e-02	 9.07695e-03	 4.71032e-02	 2.16576e-01
  0.614	  9.48	 1.03930e+00	 3.35847e-02	 3.40767e+00	 9.42188e-02
  0.622	  9.05	 1.29002e+00	 2.19662e-02	 3.31280e+00	 1.64293e-01
  0.705	  8.45	 2.64235e-01	 2.65047e-02	 6.53228e-01	 4.57478e-02
  0.062	  8.52	 1.78307e+01	 6.17233e-03	 7.24519e+01	 1.23628e-01
  0.714	  8.98	 1.64925e-01	 3.86678e-02	 9.57517e-01	 1.26170e-01
  0.722	  9.06	 2.24795e+00	 3.34032e-02	 4.24231e+00	 5.79109e-02
  0.647	 10.03	 1.33199e+01	 3.78690e-01	 3.49729e+01	 1.55833e+00
  0.783	  9.80	 1.10738e+00	 5.97263e-02	 4.92316e+00	 2.78299e-01
  0.622	 11.02	 7.82963e+00	 2.98995e-01	 5.96087e+01	 2.87376e+00
  0.342	  7.63	 2.44442e-01	 4.53848e-03	 5.11410e-01	 7.26156e-04
  0.329	  8.70	 2.88013e+00	 2.48708e-02	 6.46965e+00	 4.35694e-03
  0.671	  9.88	 4.29870e+00	 1.18182e-01	 1.54986e+01	 5.91091e-01
  0.614	  9.16	 1.19900e+00	 3.35847e-02	 3.27586e+00	 1.47047e-02
  0.015	  8.42	 2.36295e+00	 1.91524e-01	 2.75806e+00	 6.68608e-01
  0.705	  9.69	 1.73685e+00	 5.53694e-02	 5.85296e+00	 2.04050e-01
  0.705	  8.03	 3.20672e-01	 1.81539e-04	 7.12501e-01	 1.52493e-02
  0.005	  6.43	 1.55479e-01	 4.50217e-02	 1.06852e+00	 7.73356e-02
  0.156	  7.25	 2.31214e-01	 3.63078e-03	 5.80903e-01	 4.53848e-03
  1.000	  8.77	 3.98892e-01	 1.30708e-02	 1.03549e+00	 3.81232e-02
  0.383	  8.81	 2.10807e+00	 3.75786e-02	 5.78401e+00	 8.55049e-02
  0.884	  8.23	 2.47721e-01	 1.61570e-02	 5.70929e-01	 3.37663e-02
  0.574	  9.97	 4.63760e-01	 8.06033e-02	 2.85796e+00	 8.31449e-02
  0.775	  8.47	 2.58822e-01	 1.63385e-02	 6.11049e-01	 6.80771e-02
  0.094	  7.39	 2.53865e+00	 2.72309e-03	 5.19133e+00	 9.07695e-04
  0.614	  8.80	 3.67863e-01	 3.17693e-02	 1.18953e+00	 2.16031e-02
  0.303	  9.16	 8.04988e-01	 2.05139e-01	 4.53357e-01	 3.82866e-01
  0.757	  8.95	 4.43808e-01	 1.36154e-02	 1.08379e+00	 6.26310e-02
  0.792	  9.52	 1.59753e+00	 5.59140e-02	 5.29753e+00	 4.59475e-01
  0.362	  8.25	 1.17337e-01	 4.35694e-03	 8.14508e-01	 1.72462e-02
  1.000	  8.48	 2.50077e-01	 1.76093e-02	 8.82465e-01	 7.08002e-02
  0.536	 10.64	 2.46245e+00	 7.73356e-02	 2.08944e+01	 4.33878e-01
  0.432	  8.11	 1.55720e-01	 4.72001e-03	 4.73174e-01	 9.44003e-03
  0.383	  8.08	 3.38910e-01	 1.28893e-02	 9.65116e-01	 1.12554e-02
  0.775	  8.57	 3.75916e-01	 1.85170e-02	 7.83247e-01	 4.35694e-02
  0.801	  9.91	 8.56933e-02	 2.10585e-02	 3.58915e-01	 6.04525e-02
  0.062	  7.89	 3.74780e-01	 3.34032e-02	 8.94003e-01	 8.26003e-02
  0.005	  5.55	 2.83310e-02	 9.44003e-03	 1.91788e-01	 1.30708e-02
  0.865	  8.42	 2.19752e-01	 2.26924e-02	 6.59088e-01	 4.19355e-02
  0.122	  7.59	 1.50901e-01	 9.44003e-03	 7.70717e-01	 3.63078e-02
  0.528	  8.21	 4.23676e-01	 1.16185e-02	 9.28884e-01	 1.32523e-02
  0.792	  9.46	 1.13460e+00	 4.53848e-02	 4.48532e+00	 2.21478e-01
  0.005	  6.39	 1.04253e+00	 5.68217e-02	 8.26195e+00	 1.27440e-01
  0.757	  9.06	 1.53634e-01	 1.08923e-02	 1.31393e+00	 7.09818e-02
  0.376	  8.54	 1.34484e+00	 1.10739e-02	 3.32072e+00	 3.15878e-02
  0.748	  9.14	 1.88827e+00	 3.10432e-02	 3.89492e+00	 3.98478e-01
  0.030	  6.69	 2.02761e-01	 4.59294e-02	 9.13228e-01	 3.93940e-02
  0.296	  8.44	 2.75623e-02	 1.92431e-02	 2.56314e-01	 8.51418e-02
  0.144	  8.25	 2.47544e+00	 1.01480e-01	 7.88961e+00	 9.87572e-02
  0.397	 11.23	 7.32997e+00	 1.38696e-01	 1.16331e+02	 5.06803e+00
  0.766	  9.37	 9.90481e-02	 3.26770e-02	 8.33271e-01	 8.07849e-02
  0.663	  9.43	 1.23710e+00	 4.17540e-02	 4.86398e+00	 1.60117e-01
  0.203	  9.29	 6.30038e+00	 1.25443e-01	 2.22140e+01	 1.96970e-01
  0.655	  8.46	 4.26432e-01	 1.07108e-02	 1.24812e+00	 1.50677e-02
  0.622	  9.42	 2.46597e+00	 4.55663e-02	 6.61162e+00	 6.20863e-02
  0.376	  8.10	 4.28799e-02	 6.89848e-03	 4.60350e-01	 3.24955e-02
  0.828	 11.79	 1.25470e+01	 0.00000e+00	 1.26339e+02	 0.00000e+00
  0.671	 10.53	 1.30206e+00	 7.96956e-02	 1.00421e+01	 3.91035e-01
  0.122	  8.10	 3.42511e-01	 1.53037e-01	 8.28490e-01	 1.37062e-01
  0.582	  7.80	 1.32444e-01	 9.62157e-03	 4.25822e-01	 4.93786e-02
  0.498	  8.78	 1.12858e+00	 1.01662e-02	 2.46094e+00	 1.68650e-01
  0.865	  8.73	 3.24963e-01	 2.92278e-02	 9.43593e-01	 1.09286e-01
  0.638	  9.21	 9.81473e-01	 3.12247e-02	 3.20928e+00	 5.66402e-02
  0.941	  8.90	 3.90182e-01	 2.10585e-02	 8.66675e-01	 9.44003e-03
  0.705	  8.43	 3.78665e-01	 0.00000e+00	 7.54237e-01	 1.45231e-03
  0.688	  8.30	 1.87117e-01	 1.43416e-02	 6.90458e-01	 7.82433e-02
  0.941	  8.85	 2.81669e-01	 1.52493e-02	 1.00295e+00	 5.53694e-02
  0.847	  8.41	 2.32620e-01	 2.28739e-02	 7.48819e-01	 2.94093e-02
  0.714	  9.01	 4.07693e-02	 9.80311e-03	 2.85148e-01	 1.48317e-01
  0.714	  8.95	 8.50507e-01	 4.68371e-02	 2.08144e+00	 5.21017e-02
  0.454	  8.14	 2.45565e-01	 4.90155e-03	 5.32519e-01	 6.35387e-03
  0.714	  8.88	 2.35129e-01	 1.68831e-02	 1.17375e+00	 4.59294e-02
  0.705	  7.86	 1.17563e-01	 9.07695e-04	 2.40798e-01	 2.17847e-03
  0.520	  8.54	 5.28377e-01	 7.26156e-03	 1.16448e+00	 5.08309e-03
  0.369	  9.54	 2.37712e-02	 8.89541e-03	 1.15096e-01	 6.35387e-03
  0.655	 10.09	 7.27848e-01	 2.21478e-02	 6.42710e+00	 2.83201e-02
  0.520	  8.36	 3.19027e-01	 2.52339e-02	 8.96501e-01	 4.33878e-02
  0.775	  9.22	 1.70235e+00	 4.70186e-02	 4.58379e+00	 1.28348e-01
  0.270	  8.17	 1.36869e+00	 6.89848e-03	 3.20158e+00	 4.53848e-03
  0.630	  9.19	 1.25974e+00	 5.35540e-02	 3.88254e+00	 1.11102e-01
  0.520	  8.75	 2.33723e-01	 1.19271e-01	 5.85180e-01	 1.39967e-01
  0.622	 10.29	 1.95937e-01	 9.25849e-03	 6.43944e-01	 1.61570e-02
  0.961	  9.39	 9.10796e-01	 6.53540e-02	 2.54289e+00	 1.29619e-01
  0.856	  8.90	 7.52145e-01	 2.34185e-02	 1.56167e+00	 1.41600e-02
  0.567	  9.22	 3.66411e-01	 2.95909e-02	 1.58034e+00	 4.62925e-02
  0.932	 10.53	 4.55616e+00	 3.94121e-01	 2.21109e+01	 1.01753e+00
  0.663	 10.58	 2.92832e+00	 1.24717e-01	 1.83146e+01	 5.25737e-01
  0.783	  9.07	 1.12249e+00	 5.35540e-02	 2.52852e+00	 2.37635e-01
  0.714	  8.94	 2.81210e-01	 2.41447e-02	 9.42213e-01	 9.25849e-03
  0.329	  9.43	 1.63396e-01	 7.35233e-02	 4.56905e-01	 1.49225e-01
  0.283	  7.59	 2.57753e-01	 6.71694e-03	 6.16775e-01	 3.44924e-03
  0.270	 10.61	 8.03158e+01	 8.50692e-01	 3.17232e+02	 2.92278e-02
  0.932	  9.14	 9.39817e-01	 2.32370e-02	 2.08834e+00	 4.44771e-02
  0.528	  8.15	 2.66880e-01	 1.12554e-02	 7.64138e-01	 2.48708e-02
  0.663	  9.15	 1.81790e-01	 4.72001e-03	 1.02992e+00	 1.07471e-01
  0.810	  9.27	 1.28716e+00	 3.97570e-02	 3.32387e+00	 1.94428e-01
  0.520	  7.80	 2.05910e-01	 1.52493e-02	 5.66358e-01	 1.96062e-02
  0.461	  8.88	 3.06625e-01	 6.97110e-02	 4.90704e-01	 9.76680e-02
  0.655	  8.27	 2.44153e-01	 8.35080e-03	 6.26491e-01	 7.64279e-02
  0.133	 10.27	 1.13872e+01	 4.15960e+00	 8.76685e+01	 1.51146e+01
  0.792	  8.88	 1.59494e-01	 7.44310e-03	 3.62722e-01	 1.99693e-02
  0.144	  7.94	 2.71566e-01	 7.62464e-03	 1.08585e+00	 2.79570e-02
  0.138	  8.51	 5.57416e+00	 2.37816e-02	 1.48801e+01	 1.96062e-02
  0.005	  6.85	 7.87023e-02	 3.44924e-03	 2.86808e+00	 1.01662e-02
  0.369	  9.21	 6.21626e+00	 9.51265e-02	 1.57890e+01	 1.31616e-01
  0.990	  9.61	 1.52379e-01	 7.44310e-02	 9.71989e-01	 2.25108e-01
  0.961	  9.06	 3.70267e-01	 9.80311e-03	 1.16509e+00	 1.08923e-02
  0.110	  8.25	 8.79887e-01	 2.39632e-02	 4.21628e+00	 3.21324e-02
  0.144	  9.63	 2.17214e+01	 2.16395e-01	 7.86289e+01	 1.00918e+00
  0.622	  8.63	 2.14021e-01	 2.06954e-02	 9.53545e-01	 9.33111e-02
  0.775	  8.70	 5.00786e-01	 7.26156e-03	 1.10688e+00	 2.90462e-03
  0.932	  8.40	 2.11001e-01	 2.88647e-02	 6.63609e-01	 2.68678e-02
  0.622	 11.36	 1.13730e+01	 0.00000e+00	 1.05851e+02	 0.00000e+00
  0.941	  9.45	 3.30844e-01	 1.48862e-02	 1.76091e+00	 9.09511e-02
  0.543	  8.66	 1.22499e+00	 1.85170e-02	 2.65508e+00	 5.33725e-02
  0.865	  9.52	 1.35398e+00	 8.45972e-02	 3.88443e+00	 7.13448e-02
  0.680	  8.48	 3.65398e-01	 9.98465e-03	 8.15295e-01	 4.33878e-02
  0.961	 11.74	 7.28937e+01	 2.95074e+00	 3.97236e+02	 3.23484e+00
  0.290	  9.86	 1.60027e+01	 4.02109e-01	 5.83623e+01	 3.05893e-01
  0.418	 10.93	 9.74422e+00	 1.44324e-01	 1.43310e+02	 1.94755e+00
  0.847	  9.45	 3.61669e-01	 3.86678e-02	 1.99229e+00	 6.19048e-02
  0.663	  8.75	 5.18962e-01	 1.45231e-02	 1.48895e+00	 8.29633e-02
  0.663	  9.31	 2.02960e+00	 3.54001e-02	 5.76757e+00	 2.94093e-02
  0.418	  9.29	 1.04441e+00	 6.40833e-02	 4.34546e+00	 5.01048e-02
  0.356	  7.91	 5.21278e-01	 2.36001e-03	 1.02496e+00	 1.63385e-03
  0.663	  8.11	 2.18270e-01	 6.89848e-03	 3.50265e-01	 9.44003e-03
  0.722	  9.89	 2.07051e+00	 9.11326e-02	 7.12671e+00	 1.09650e-01
  0.775	  8.82	 4.59196e-01	 1.27077e-02	 1.24414e+00	 1.67016e-02
  0.296	 10.34	 8.01313e+00	 2.99539e-01	 6.74966e+01	 3.74697e-01
  0.865	  9.67	 1.80807e+00	 6.80771e-02	 5.84824e+00	 5.04678e-02
  0.884	  8.21	 1.90098e-01	 3.15878e-02	 1.32148e-01	 1.44687e-01
  0.432	  7.85	 5.82381e-01	 2.36001e-02	 1.06589e+00	 1.81539e-02
  0.622	 11.44	 9.62821e+00	 2.15850e-01	 9.62462e+01	 3.80597e+00
  0.598	  9.03	 8.78017e-02	 3.63078e-03	 6.44674e-01	 4.35694e-02
  0.671	  8.69	 2.89502e-01	 9.44003e-03	 7.76239e-01	 1.37970e-02
  0.574	  8.15	 1.71745e-01	 7.26156e-03	 5.14227e-01	 8.07849e-02
  0.783	  8.76	 3.56990e-01	 2.55970e-02	 8.04294e-01	 9.98465e-02
  0.574	  8.85	 4.15379e-01	 6.37202e-02	 2.40993e+00	 2.08225e-01
  0.630	  9.46	 1.97983e+00	 4.93786e-02	 6.09176e+00	 7.46125e-02
  0.688	  9.49	 1.12433e-01	 2.08770e-02	 8.11665e-01	 5.77294e-02
  0.663	 10.13	 1.15266e+00	 4.08463e-02	 6.85411e+00	 7.82433e-02
  0.757	  8.16	 7.73570e-02	 1.67016e-02	 2.24922e-01	 1.92431e-02
  0.622	  8.10	 3.83011e-01	 3.63078e-03	 6.41762e-01	 2.08770e-02
  0.105	  7.73	 1.22452e-01	 1.36336e-01	 1.16245e+00	 3.66527e-01
  0.775	  8.73	 4.89771e-01	 1.96062e-02	 1.24588e+00	 3.79417e-02
  0.005	  5.68	 4.56701e-01	 4.01201e-02	 1.98443e+00	 4.08463e-02
  0.598	  8.59	 2.14605e-01	 6.17233e-03	 6.77936e-01	 2.30555e-02
  0.622	  9.61	 8.74488e-01	 3.43109e-02	 4.05529e+00	 1.00573e-01
  0.847	  8.85	 3.84209e-01	 1.45231e-02	 8.60524e-01	 9.07695e-03
  0.856	  8.58	 3.82960e-01	 1.92431e-02	 9.17226e-01	 1.74277e-02
  0.663	  9.54	 7.84891e-01	 4.44771e-02	 5.02703e+00	 5.37356e-01
  0.856	  9.10	 9.24008e-01	 2.99539e-02	 2.40534e+00	 5.99079e-03
  0.731	 11.55	 8.73413e+00	 0.00000e+00	 8.70933e+01	 0.00000e+00
  0.775	 10.10	 5.22981e-01	 3.30401e-02	 4.43471e+00	 2.95909e-02
  0.932	  9.12	 1.17376e-01	 1.50677e-02	 7.25975e-01	 1.45413e-01
  0.005	  3.52	 3.85887e-02	 1.12554e-02	 8.28214e-02	 1.18000e-02
  0.309	  9.67	 2.45888e-01	 1.07471e-01	 1.06591e+00	 4.52577e-01
  0.078	  7.49	 6.54913e-02	 1.97878e-02	 2.82007e-01	 3.59447e-02
  0.971	 10.89	 3.42058e+00	 0.00000e+00	 2.68587e+01	 0.00000e+00
  0.856	  9.99	 1.76492e+00	 5.13755e-02	 6.66535e+00	 1.13099e-01
  0.792	 10.66	 2.25976e+00	 0.00000e+00	 2.08927e+01	 0.00000e+00
