Seq	zspec	lmass	Fu	e_Fu	Fr	e_Fr
 4996	          	  9.07	 1.04110e-01	 1.07108e-02	 2.03936e-01	 5.33725e-02
 4997	          	 10.16	 1.47674e+00	 4.01201e-02	 9.83535e+00	 8.00587e-02
 4998	          	  8.81	 2.98652e+00	 3.75604e-01	 6.28118e+00	 1.78544e+00
 4999	          	  9.39	 7.07803e-01	 1.77908e-02	 1.06377e+00	 9.73049e-02
 5000	          	  9.26	 3.77525e-01	 1.99693e-02	 4.62772e-01	 6.04525e-02
 5001	          	  9.88	 7.10057e-01	 1.48862e-02	 1.64774e+00	 1.92431e-01
 5002	          	  9.02	 7.99102e+00	 4.35875e-01	 2.34680e+01	 1.94338e+00
 5003	          	  9.47	 2.32073e-01	 5.57325e-02	 2.79427e-01	 2.77755e-02
 5004	          	  9.24	 4.51321e-01	 1.08923e-02	 6.38879e-01	 1.72462e-02
 5005	          	  9.20	 3.74929e-01	 8.38710e-02	 5.47910e-01	 8.42341e-02
 5006	          	  8.84	 1.38986e-01	 3.26770e-03	 2.30714e-01	 2.75939e-02
 5007	          	  9.62	 2.70737e-01	 8.71387e-03	 6.31821e-01	 1.78453e-01
 5008	          	  9.76	 4.68171e-01	 4.01201e-02	 5.83510e-01	 1.57031e-01
 5009	          	  9.59	 9.56369e-01	 4.39324e-02	 1.54626e+00	 4.62925e-01
 5010	          	  9.91	 1.44365e+00	 5.02863e-02	 4.05188e+00	 4.35694e-02
 5011	          	 11.03	 8.62880e-01	 0.00000e+00	 5.76564e+00	 0.00000e+00
 5012	          	  7.28	 3.00065e-02	 1.99693e-03	 3.17001e-01	 1.65201e-02
 5013	          	  9.27	 2.70598e-01	 2.17847e-03	 5.25643e-01	 6.58987e-02
 5014	          	  8.66	 7.15874e-02	 7.08002e-03	 1.45618e-01	 9.25849e-03
 5015	          	 10.48	 2.01525e+00	 0.00000e+00	 3.16001e+01	 0.00000e+00
 5016	          	  8.08	 1.27890e-01	 1.36154e-02	 2.48149e-01	 3.44924e-03
 5017	          	 10.29	 6.33506e-01	 8.27818e-02	 3.12242e+00	 2.52884e-01
 5018	          	 10.39	 2.97805e+00	 1.88801e-01	 1.21203e+01	 4.03198e-01
 5019	          	  9.72	 2.07169e+00	 2.53792e-01	 3.04724e+00	 2.75032e-01
 5020	          	  8.54	 1.05724e-01	 1.18000e-02	 2.81792e-01	 6.53540e-03
 5021	          	 10.26	 1.30115e+00	 3.61263e-02	 4.46390e+00	 8.02403e-02
 5022	          	  9.85	 1.17865e+00	 7.20710e-02	 3.46760e+00	 1.33976e-01
 5023	          	 11.05	 5.03974e-02	 1.80813e-01	 3.32366e+00	 6.65159e-01
 5024	          	  9.26	 5.25661e-01	 3.77601e-02	 1.36079e+00	 2.68678e-02
 5025	          	  9.13	 1.55119e-01	 3.44924e-03	 2.17010e-01	 1.57939e-02
 5026	          	 10.42	 2.17630e+00	 0.00000e+00	 1.39897e+01	 0.00000e+00
 5027	          	  8.70	 7.17017e-02	 1.23447e-02	 1.62930e-01	 5.08309e-02
 5028	          	  8.75	 1.08339e-01	 5.26463e-03	 1.45165e-01	 1.74277e-02
 5029	          	 10.61	 3.56003e+00	 0.00000e+00	 2.57912e+01	 0.00000e+00
 5030	          	  8.51	 1.78803e+00	 5.44617e-04	 2.19740e+00	 7.26156e-04
 5031	          	  7.72	 1.97605e-01	 4.35694e-03	 4.19588e-01	 5.08309e-03
 5032	          	  5.16	 1.69883e-02	 2.90462e-03	 2.37898e-01	 1.57939e-02
 5033	          	  7.18	 2.85930e-02	 9.07695e-03	 1.25187e-01	 6.35387e-03
 5034	          	  8.81	 2.29633e-01	 1.25262e-02	 8.23425e-01	 1.25262e-02
 5035	          	  8.30	 4.07145e-02	 9.25849e-03	 1.91301e-01	 1.23447e-02
 5036	          	  4.87	 4.16512e-02	 1.45231e-02	 2.23916e-01	 1.70647e-02
 5037	          	  8.85	 7.37571e-02	 2.90462e-03	 1.64275e-01	 2.06954e-02
 5038	          	 10.09	 2.46018e-01	 5.84556e-02	 1.71778e+00	 7.33055e-01
 5039	          	  8.20	 3.23618e-01	 5.99079e-03	 6.17730e-01	 1.36154e-02
 5040	          	  8.99	 6.72428e-01	 1.05293e-02	 1.81327e+00	 6.17233e-03
 5041	          	  8.85	 1.78153e-01	 3.24955e-02	 2.49244e-01	 5.48248e-02
 5042	          	  8.72	 1.76387e-01	 5.30094e-02	 1.52549e-01	 5.95448e-02
 5043	          	  8.77	 3.84500e-01	 1.76093e-02	 7.08924e-01	 1.03477e-02
 5044	          	  8.48	 9.14855e-02	 1.54308e-02	 1.74297e-01	 9.62157e-03
 5045	          	  9.23	 2.45795e+00	 1.10739e-02	 5.66591e+00	 4.70186e-02
 5046	          	 10.10	 8.66475e-01	 1.47047e-02	 1.43968e+00	 2.68678e-02
 5047	          	  9.58	 8.95808e-01	 2.45078e-02	 2.69703e+00	 3.77601e-02
 5048	          	  7.23	 1.06285e-01	 6.17233e-03	 2.04664e-01	 3.26770e-03
 5049	          	  8.92	 1.59754e+00	 9.44003e-03	 3.38728e+00	 3.19509e-02
 5050	          	  7.99	 8.56784e-02	 9.07695e-04	 1.90856e-01	 7.08002e-03
 5051	          	  9.68	 7.44343e-01	 8.16926e-03	 1.41608e+00	 5.33725e-02
 5052	          	  7.51	 5.03738e-02	 6.71694e-03	 9.50858e-02	 1.81539e-03
 5053	          	  7.74	 5.31633e-02	 7.62464e-03	 7.50860e-02	 3.63078e-03
 5054	          	  9.76	 1.35277e-01	 2.26924e-02	 7.91340e-01	 8.36895e-02
 5055	          	 10.09	 5.83731e-01	 2.26924e-02	 1.20245e+00	 3.09524e-01
 5056	          	  8.79	 1.47039e-01	 8.71387e-03	 2.00642e-01	 1.32523e-02
 5057	          	 10.48	 3.20951e-01	 0.00000e+00	 2.65856e+00	 0.00000e+00
 5058	          	  9.98	 5.05699e-01	 9.44003e-03	 1.02938e+00	 3.66709e-02
 5059	          	  9.37	 7.32699e-01	 3.32216e-02	 1.57359e+00	 2.50524e-02
 5060	          	  8.39	 8.37835e-01	 1.57939e-02	 1.97964e+00	 5.44617e-03
 5061	          	  9.13	 1.17629e-01	 5.80925e-03	 1.93972e-01	 8.24187e-02
 5062	          	  8.93	 5.35856e-02	 6.35387e-03	 1.07689e-01	 3.14063e-02
 5063	          	  9.00	 4.22489e-01	 1.86985e-02	 1.50011e+00	 2.05139e-02
 5064	          	  7.82	 5.88092e-02	 4.90155e-03	 5.65160e-02	 7.26156e-03
 5065	          	  8.75	 1.56609e-01	 1.57939e-02	 2.92875e-01	 6.17233e-03
 5066	          	  9.57	 2.10066e-01	 4.72001e-03	 3.87023e-01	 1.05293e-02
 5067	          	 10.54	 1.01597e+00	 0.00000e+00	 6.18750e+00	 0.00000e+00
 5068	          	  9.25	 1.12158e-01	 3.44924e-03	 1.89098e-01	 2.28739e-02
 5069	          	  8.52	 1.30773e-01	 1.03477e-02	 2.21775e-01	 1.19816e-02
 5070	          	  8.21	 6.91362e-02	 3.99386e-03	 1.34048e-01	 1.86985e-02
 5071	          	  9.19	 2.74320e-01	 7.08002e-03	 5.51134e-01	 6.17233e-03
 5072	          	  8.46	 8.54769e-02	 3.64893e-02	 3.20156e-01	 2.52339e-02
 5073	          	  9.10	 2.24927e-01	 3.15878e-02	 7.39256e-01	 2.61416e-02
 5074	          	  8.07	 1.02990e-01	 9.98465e-03	 1.62341e-01	 5.80925e-03
 5075	          	 10.76	 8.35642e-01	 0.00000e+00	 5.48535e+00	 0.00000e+00
 5076	          	  9.25	 1.70972e-01	 4.90155e-03	 2.96453e-01	 3.63078e-03
 5077	          	  7.93	 5.18232e-02	 4.17540e-03	 1.72292e-01	 1.05293e-02
 5078	          	  6.47	 9.63370e-02	 4.35694e-03	 2.98693e-01	 4.35694e-03
 5079	          	  9.71	 4.44647e-01	 5.55509e-02	 9.98309e-01	 2.14398e-01
 5080	          	  7.80	 8.13400e-02	 7.26156e-03	 1.36410e-01	 6.17233e-03
 5081	          	  9.35	 1.97724e-01	 4.53848e-03	 3.18681e-01	 1.61570e-02
 5082	          	  9.65	 1.04052e+00	 2.32370e-02	 2.35793e+00	 3.06801e-02
 5083	          	 10.26	 1.21992e+00	 1.90616e-02	 2.63799e+00	 7.87879e-02
 5084	          	  9.28	 5.64172e-01	 2.32370e-02	 1.60040e+00	 2.16031e-02
 5085	          	  9.57	 2.65329e-01	 5.33725e-02	 4.53735e-01	 6.82587e-02
 5086	          	  9.46	 2.57045e-01	 1.83354e-02	 8.78064e-01	 2.25108e-02
 5087	          	  8.69	 6.98798e-01	 2.21478e-02	 1.58823e+00	 5.99079e-03
 5088	          	  8.92	 8.64300e-02	 4.90155e-03	 4.34804e-01	 5.26463e-03
 5089	          	  8.84	 1.81788e-01	 1.28893e-02	 3.70452e-01	 1.43416e-02
 5090	          	  8.48	 9.84501e-02	 1.61570e-02	 2.37461e-01	 9.44003e-03
 5091	          	  7.14	 1.73605e-01	 1.12373e-01	 2.96672e-01	 3.17693e-02
 5092	          	  9.70	 1.77232e-01	 4.86525e-02	 9.42649e-01	 2.40539e-01
 5093	          	  9.69	 4.45871e+00	 1.80813e-01	 5.24317e+00	 8.26366e-01
 5094	          	  9.96	 6.72867e-01	 2.32370e-02	 1.55850e+00	 4.72001e-02
 5095	          	  9.70	 3.01747e-01	 6.20863e-02	 8.48357e-01	 1.19271e-01
 5096	          	  9.32	 1.58325e-01	 5.99079e-03	 2.52935e-01	 3.12247e-02
 5097	          	  8.54	 1.00606e-01	 1.56124e-02	 1.18817e-01	 1.29437e-01
 5098	          	  9.03	 5.78790e-01	 2.06954e-02	 1.28522e+00	 1.41600e-02
 5099	          	  9.02	 5.88546e-01	 5.59140e-02	 1.38576e+00	 5.26463e-02
 5100	          	  9.50	 4.28160e-01	 6.53540e-03	 5.33993e-01	 1.27077e-02
 5101	          	  9.56	 1.30896e-01	 5.99079e-03	 3.20614e-01	 2.23293e-02
 5102	          	  8.94	 1.40829e+00	 2.43262e-02	 3.39724e+00	 2.11675e-01
 5103	          	  8.62	 2.79706e-01	 5.08309e-03	 8.39549e-01	 3.26770e-03
 5104	          	  9.48	 1.04575e+00	 3.77601e-02	 1.46283e+00	 3.28586e-02
 5105	          	  7.86	 6.64360e-02	 1.45231e-02	 1.23207e-01	 2.10585e-02
 5106	          	  8.11	 7.97614e-02	 8.53233e-03	 1.33369e-01	 5.62771e-03
 5107	          	 10.00	 5.61188e-01	 3.75786e-02	 2.62700e+00	 3.46740e-02
 5108	          	  8.34	 5.34204e+01	 4.70186e-02	 1.23279e+02	 1.48862e-02
 5109	          	 10.38	 8.86640e+00	 2.57785e-02	 8.05910e+00	 8.67757e-02
 5110	          	  8.29	 8.94842e-01	 2.63232e-02	 2.20356e+00	 4.35694e-02
 5111	          	  8.04	 1.73785e-02	 1.99693e-03	 1.80384e-02	 1.96062e-02
 5112	          	  7.94	 4.04694e-01	 2.36001e-03	 7.98496e-01	 6.17233e-03
 5113	          	 10.40	 1.15595e+00	 1.76093e-02	 3.50141e+00	 1.01117e-01
 5114	          	  9.49	 3.42751e-01	 6.35387e-03	 5.39915e-01	 1.25988e-01
 5115	          	  9.02	 3.07527e-01	 2.54155e-02	 5.30689e-01	 1.54308e-02
 5116	          	  8.29	 3.61143e-02	 1.36154e-02	 6.64705e-02	 2.55970e-02
 5117	          	 11.03	 8.65476e-01	 3.34032e-02	 4.56796e+00	 1.20905e-01
 5118	          	  9.88	 7.15057e-01	 5.08309e-03	 1.29648e+00	 1.47047e-02
 5119	          	  8.39	 1.05192e-01	 1.56124e-02	 2.01181e-01	 9.98465e-03
 5120	          	  7.98	 1.00646e-01	 3.99386e-03	 1.48434e-01	 2.36001e-03
 5121	          	  7.91	 1.82060e-01	 5.08309e-03	 3.15162e-01	 5.26463e-03
 5122	          	  9.44	 7.59360e-01	 9.98465e-02	 1.00808e+00	 3.64893e-01
 5123	          	  8.91	 2.77169e-01	 2.83201e-02	 6.43124e-01	 1.08923e-02
 5124	          	 10.66	 1.32037e+00	 0.00000e+00	 8.40442e+00	 0.00000e+00
 5125	          	  8.29	 7.86216e-02	 1.90616e-02	 1.90437e-01	 2.39632e-02
 5126	          	  9.56	 3.22378e-01	 9.62157e-03	 4.75048e-01	 6.71694e-02
 5127	          	 10.08	 1.32739e+00	 4.17540e-02	 8.86063e+00	 1.56487e-01
 5128	          	  9.29	 2.44911e-01	 6.71694e-03	 3.49447e-01	 4.90155e-03
 5129	          	  9.36	 1.59928e-01	 5.99079e-03	 3.01187e-01	 1.03477e-02
 5130	          	  9.60	 2.17101e-01	 4.79263e-02	 6.37358e-01	 1.09650e-01
 5131	          	  9.71	 4.04048e-01	 6.24494e-02	 1.03403e+00	 7.78802e-02
 5132	          	 10.71	 6.30979e+00	 7.51572e-02	 1.15862e+01	 1.37607e-01
 5133	          	 10.10	 6.19604e-01	 6.98925e-02	 1.38334e+00	 2.48708e-01
 5134	          	  9.40	 3.63895e-01	 3.63078e-03	 4.15532e-01	 3.63078e-03
 5135	          	  6.57	 1.46057e-02	 2.90462e-03	 1.03572e-01	 7.62464e-03
 5136	          	  9.70	 3.01545e-01	 1.45231e-03	 5.19601e-01	 1.27077e-03
 5137	          	  7.12	 1.62888e-01	 2.83201e-02	 4.28461e-01	 1.08923e-01
 5138	          	  9.63	 1.79624e-01	 3.83047e-02	 1.26135e+00	 9.22218e-02
 5139	          	  7.83	 8.61036e-02	 7.08002e-03	 1.93348e-01	 4.90155e-03
 5140	          	  8.59	 1.03962e+00	 2.01508e-02	 3.17527e+00	 3.06801e-02
 5141	          	 10.51	 2.41766e-01	 0.00000e+00	 2.40009e+00	 0.00000e+00
 5142	          	  8.97	 4.09076e-01	 1.81539e-02	 1.16817e+00	 7.75172e-02
 5143	          	 10.54	 8.34931e-01	 2.71038e-01	 4.12337e+00	 6.30848e-01
 5144	          	  8.78	 1.31240e-01	 5.80925e-03	 1.29150e-01	 6.51725e-02
 5145	          	  7.88	 1.33129e-01	 3.26770e-03	 3.92451e-01	 6.89848e-03
 5146	          	  8.87	 9.29349e-02	 1.43416e-02	 1.82584e-01	 2.06954e-02
 5147	          	  8.52	 1.73498e-01	 5.62771e-03	 6.49216e-01	 1.12554e-02
 5148	          	  8.90	 1.60678e-01	 9.07695e-03	 1.23001e+00	 4.88340e-02
 5149	          	  9.24	 1.20380e-01	 7.98772e-03	 2.07154e-01	 8.62310e-02
 5150	          	  8.48	 5.91077e-01	 3.63078e-04	 1.09461e+00	 7.26156e-04
 5151	          	  9.34	 3.73847e-01	 2.06954e-02	 4.71718e-01	 1.03114e-01
 5152	          	  8.17	 7.42948e-02	 1.50677e-02	 1.74984e-01	 6.35387e-03
 5153	          	  9.94	 3.80317e+00	 1.14007e-01	 1.72351e+01	 3.12792e-01
 5154	          	 10.39	 9.00183e-01	 0.00000e+00	 6.34610e+00	 0.00000e+00
 5155	          	  8.66	 5.70428e-02	 5.80925e-03	 1.28973e-01	 1.67016e-02
 5156	          	  9.59	 1.73101e-01	 2.12401e-02	 5.65959e-01	 3.26770e-02
 5157	          	  7.70	 1.94251e-01	 5.99079e-03	 4.51745e-01	 4.35694e-03
 5158	          	  9.59	 8.68174e-01	 5.37356e-02	 2.64784e+00	 1.49407e-01
 5159	          	  9.87	 5.33728e-01	 8.89541e-03	 1.00175e+00	 5.68217e-02
 5160	          	  9.96	 3.29773e+00	 4.28432e-02	 9.02870e+00	 6.09971e-02
 5161	          	  9.97	 6.32783e-01	 4.90155e-03	 1.06520e+00	 4.39324e-02
 5162	          	  9.15	 2.36920e-01	 2.17847e-02	 3.61292e-01	 1.23447e-01
 5163	          	  9.19	 1.39857e-01	 5.99079e-03	 2.83357e-01	 8.16926e-03
 5164	          	  9.35	 6.95480e-01	 1.23447e-02	 1.33560e+00	 1.01662e-02
 5165	          	  8.83	 8.12554e-02	 5.80925e-03	 1.68433e-01	 8.35080e-03
 5166	          	  8.25	 3.26505e-01	 2.72309e-03	 6.33168e-01	 6.53540e-03
 5167	          	  9.31	 4.31976e-01	 3.03170e-02	 8.05736e-01	 2.61416e-02
 5168	          	  8.78	 4.44291e-01	 2.36001e-03	 2.74619e-01	 7.62464e-03
 5169	          	  8.25	 7.77960e-02	 1.72462e-02	 2.10404e-01	 7.26156e-03
 5170	          	  9.24	 1.54960e-01	 6.35387e-03	 1.75521e-01	 4.12094e-02
 5171	          	  8.05	 3.96764e-02	 9.25849e-03	 1.37161e-01	 2.74124e-02
 5172	          	  9.31	 3.17265e-01	 8.71387e-03	 5.67393e-01	 1.06382e-01
 5173	          	  9.37	 8.67009e-01	 5.44617e-03	 1.18630e+00	 1.14370e-02
 5174	          	  8.44	 3.46492e-01	 8.09664e-02	 4.01662e-01	 2.97724e-02
 5175	          	  8.44	 6.45132e-02	 9.44003e-03	 1.37487e-01	 2.59601e-02
 5176	          	  8.61	 4.29674e-02	 9.98465e-03	 1.04774e-01	 1.63385e-02
 5177	          	  8.75	 2.60508e-01	 7.62464e-03	 5.84559e-01	 4.72001e-03
 5178	          	  8.67	 1.42200e+00	 4.66555e-02	 4.06825e+00	 1.04748e-01
 5179	          	  8.77	 1.62481e-01	 1.23447e-02	 1.96754e-01	 1.07108e-02
 5180	          	  9.36	 3.67101e-02	 1.81539e-02	 1.60176e-01	 3.26770e-02
 5181	          	  8.42	 9.37188e-02	 8.16926e-03	 1.24831e-01	 1.27077e-02
 5182	          	  9.53	 5.14115e-01	 2.45078e-02	 1.54844e+00	 3.12247e-02
 5183	          	  7.83	 8.70683e-03	 3.63078e-03	 5.14990e-02	 7.98772e-03
 5184	          	  8.33	 2.30705e-01	 7.44310e-03	 4.14312e-01	 5.26463e-03
 5185	          	 10.81	 3.70125e+00	 0.00000e+00	 5.28892e+01	 0.00000e+00
 5186	          	 10.23	 5.72113e-01	 2.18028e-01	 1.95126e+00	 8.51236e-01
 5187	          	  9.86	 5.03622e-01	 8.89541e-03	 7.70354e-01	 5.99079e-03
 5188	          	  8.55	 8.79302e-02	 1.30708e-02	 2.62969e-01	 1.28893e-02
 5189	          	 10.31	 6.99967e-01	 0.00000e+00	 6.34214e+00	 0.00000e+00
 5190	          	  8.73	 7.95838e-01	 3.24955e-02	 2.69933e+00	 3.10432e-02
 5191	          	  9.46	 3.56114e-01	 1.27077e-02	 7.59134e-01	 1.19816e-02
 5192	          	  8.54	 1.72079e-01	 8.71387e-03	 3.68165e-01	 1.45231e-03
 5193	          	  8.09	 4.10768e-01	 5.80925e-03	 1.19767e+00	 1.16185e-02
 5194	          	  9.62	 3.58158e-01	 3.10432e-02	 7.83733e-01	 1.72644e-01
 5195	          	  7.88	 7.20528e-01	 6.17233e-03	 1.24040e+00	 2.72309e-03
 5196	          	  8.82	 3.08405e+00	 7.91510e-02	 1.18062e+01	 1.61207e-01
 5197	          	 10.52	 1.19915e+00	 1.57213e-01	 7.50018e+00	 9.87209e-01
 5198	          	  8.01	 8.60764e-02	 1.08923e-03	 2.19264e-01	 2.17847e-03
 5199	          	 10.31	 1.45196e+00	 2.25108e-02	 3.53383e+00	 1.41964e-01
 5200	          	 10.92	 7.23651e-01	 1.57939e-02	 2.89537e+00	 4.00475e-01
 5201	          	  9.03	 2.54947e-01	 1.30708e-02	 8.39469e-01	 1.03477e-02
 5202	          	  9.64	 8.12017e-01	 1.92431e-02	 1.85290e+00	 2.16031e-02
 5203	          	  9.03	 5.52460e-01	 8.89541e-03	 9.13744e-01	 5.19202e-02
 5204	          	  8.33	 1.20560e-01	 1.08923e-02	 2.12711e-01	 2.90462e-03
 5205	          	  9.35	 2.59095e-01	 1.12554e-02	 6.21266e-01	 1.37970e-02
 5206	          	  8.13	 4.55707e-01	 7.15264e-02	 1.02133e+00	 4.37509e-01
 5207	          	  9.51	 6.74784e-01	 3.37663e-02	 1.39857e+00	 1.81539e-02
 5208	          	  4.91	 5.86113e-03	 3.08616e-03	 6.04543e-02	 1.94247e-02
 5209	          	  9.48	 1.34086e-01	 2.17847e-03	 2.61443e-01	 9.62157e-03
 5210	          	  8.85	 1.20441e+00	 1.83354e-02	 2.16172e+00	 5.99079e-03
 5211	          	  9.43	 4.96546e-01	 9.98465e-02	 9.36135e-01	 7.84249e-02
 5212	          	  9.28	 2.07742e-01	 6.89848e-03	 6.37540e-01	 8.71387e-03
 5213	          	  8.06	 1.26403e-01	 7.26156e-03	 5.60052e-01	 2.72309e-02
 5214	          	  9.07	 6.51547e-01	 1.99693e-03	 4.49719e-01	 5.44617e-04
 5215	          	 10.78	 3.57658e-01	 8.22372e-02	 2.27888e+00	 2.33459e-01
 5216	          	  8.62	 4.36452e-01	 1.56124e-02	 3.97919e-01	 1.47047e-02
 5217	          	  8.71	 5.04809e+00	 4.97417e-02	 1.65063e+01	 8.76834e-02
 5218	          	  9.92	 3.27557e-01	 1.41600e-02	 9.43302e-01	 6.31756e-02
 5219	          	  8.75	 3.49266e-01	 1.18000e-02	 6.42525e-01	 8.53233e-03
 5220	          	  9.18	 5.01418e-01	 1.76093e-02	 1.30794e+00	 2.46893e-02
 5221	          	  8.07	 1.17901e-01	 9.07695e-03	 3.50838e-01	 1.70647e-02
 5222	          	  9.26	 6.26157e-01	 1.97878e-02	 2.56512e+00	 2.72309e-02
 5223	          	  8.56	 2.62805e-01	 1.01662e-02	 4.91499e-01	 1.96062e-02
 5224	          	  8.87	 7.54719e-02	 1.01662e-02	 2.09943e-01	 8.16926e-03
 5225	          	  7.60	 8.00874e-02	 2.17847e-03	 1.29981e+00	 1.41600e-02
 5226	          	  9.52	 3.53619e-01	 1.72462e-02	 7.82419e-01	 1.99693e-02
 5227	          	  9.64	 4.53604e-01	 1.36154e-02	 7.68527e-01	 3.90309e-02
 5228	          	  8.93	 1.41467e-01	 5.99079e-03	 1.80904e-01	 1.27077e-02
 5229	          	  9.20	 9.19325e-02	 1.63385e-03	 1.81745e-01	 2.66862e-02
 5230	          	  8.69	 1.94596e-01	 9.80311e-03	 4.69856e-01	 1.39785e-02
 5231	          	  8.31	 5.39617e-02	 1.99693e-03	 3.82931e-02	 2.90462e-03
 5232	          	  6.32	 1.87003e-01	 1.63385e-03	 3.38462e-01	 1.08923e-02
 5233	          	  9.97	 3.20175e+00	 7.22525e-02	 1.48745e+01	 2.82838e-01
 5234	          	  8.41	 3.00505e-01	 1.54308e-02	 1.47752e+00	 2.75939e-02
 5235	          	  9.94	 1.78563e+00	 5.39171e-02	 5.65215e+00	 5.57325e-02
 5236	          	  8.10	 1.14533e-01	 8.16926e-03	 2.10595e-01	 4.35694e-03
 5237	          	  9.31	 2.94849e-01	 9.80311e-02	 6.59851e-01	 2.16576e-01
 5238	          	  8.42	 2.69691e-01	 2.54155e-03	 5.46748e-01	 1.63385e-03
 5239	          	  8.93	 2.36061e-01	 1.47047e-02	 3.61463e-01	 2.08770e-02
 5240	          	  8.71	 6.54655e-01	 1.72462e-02	 1.64056e+00	 1.19816e-02
 5241	          	  8.93	 5.33790e-01	 1.65201e-02	 1.22361e+00	 8.71387e-03
 5242	          	  7.00	 9.86066e-02	 3.63078e-04	 1.55255e-01	 1.81539e-04
 5243	          	  8.64	 2.82298e-01	 6.84402e-02	 6.95781e-01	 2.09678e-01
 5244	          	 10.04	 2.42227e-01	 7.89695e-02	 1.61364e+00	 6.88033e-02
 5245	          	  9.75	 1.07946e+00	 1.92431e-02	 2.32931e+00	 2.77755e-02
 5246	          	  8.53	 3.25018e-01	 2.16031e-02	 7.23596e-01	 2.03324e-02
 5247	          	  8.21	 5.52354e-02	 1.01662e-02	 2.69957e-01	 1.67016e-02
 5248	          	  8.87	 3.49723e-02	 8.35080e-03	 2.95702e-02	 1.01662e-02
 5249	          	  9.38	 2.44757e-01	 6.53540e-03	 6.43425e-01	 1.16367e-01
 5250	          	  8.90	 3.08245e-01	 9.05880e-02	 5.10441e-01	 1.50496e-01
 5251	          	  8.72	 1.68097e-01	 2.36001e-03	 2.03659e-01	 2.03324e-02
 5252	          	  8.35	 4.75876e-02	 3.08616e-03	 7.32397e-02	 1.63385e-03
 5253	          	 10.02	 5.11682e-01	 2.57785e-02	 2.83744e+00	 8.98618e-02
 5254	          	  9.19	 2.98939e-01	 1.65201e-02	 4.44560e-01	 4.77448e-02
 5255	          	  9.12	 6.64030e-02	 3.59447e-02	 1.08185e-01	 4.12094e-02
 5256	          	  8.79	 9.83818e-02	 2.90462e-03	 2.06279e-01	 4.01201e-02
 5257	          	  9.03	 7.88918e-01	 3.99386e-03	 1.88022e+00	 4.17540e-03
 5258	          	  7.57	 6.33128e-02	 9.62157e-03	 2.21538e-01	 9.07695e-03
 5259	          	  7.53	 1.25151e-01	 5.08309e-03	 2.64282e-01	 3.26770e-03
 5260	          	 10.15	 5.10564e-01	 3.43109e-02	 2.46292e+00	 9.87572e-02
 5261	          	  8.18	 2.75773e-01	 3.63078e-03	 5.51487e-01	 2.90462e-03
 5262	          	  8.31	 6.25754e-02	 1.19816e-02	 1.63279e-01	 1.88801e-02
 5263	          	  7.12	 5.29607e-02	 1.19816e-02	 9.89290e-02	 4.53848e-03
