zp	lmass	Fu	e_Fu	Fr	e_Fr
  2.343	  9.78	 5.00140e-01	 4.41140e-02	 7.94535e-01	 5.26463e-02
  2.428	  9.72	 1.62212e+00	 2.57785e-02	 1.95690e+00	 4.06647e-02
  2.603	 10.77	 2.64936e+02	 1.00987e+01	 6.14393e+01	 1.91814e+00
  2.902	 13.31	 8.00776e+02	 3.12411e+00	 1.92964e+03	 4.19319e+01
  2.942	 11.91	 8.36855e+01	 3.60173e-01	 1.57966e+02	 1.52783e+00
  2.261	 10.58	 6.81657e-01	 1.49951e-01	 2.15370e+00	 3.86134e-01
  2.072	  9.59	 4.81823e-01	 7.67910e-02	 4.16628e-01	 1.34339e-02
  2.567	  9.84	 2.44813e+01	 2.13853e-01	 9.48963e+00	 1.98604e-01
  2.750	 10.17	 1.16046e+01	 7.31602e-02	 1.23546e+01	 9.33111e-02
  2.883	 10.33	 1.01799e+00	 1.94247e-02	 2.90988e+00	 7.60649e-02
  2.942	 11.19	 2.88433e+02	 1.31616e-01	 2.09181e+02	 5.17386e-02
  2.902	 10.15	 3.88675e-01	 5.21017e-02	 2.34397e+00	 5.68217e-01
  2.621	  9.20	 7.56302e-01	 5.90002e-02	 5.55778e-01	 1.84262e-01
  2.245	  9.43	 4.39655e-01	 8.06033e-02	 9.61964e-01	 1.32705e-01
  2.902	  9.97	 1.31935e-01	 5.44617e-04	 6.35299e-01	 6.22679e-02
  2.261	 10.08	 1.06550e+00	 3.41293e-02	 2.28759e+00	 4.18629e-01
  2.394	  9.67	 1.46490e+00	 2.79570e-02	 1.67612e+00	 4.28432e-02
  2.981	  9.03	 1.18028e+00	 3.63078e-03	 1.32630e+00	 1.24536e-01
  2.961	 11.26	 1.60652e+01	 8.56864e-02	 3.55219e+01	 3.23012e+00
  2.102	  9.53	 2.23322e-01	 3.44924e-02	 7.45040e-01	 7.51572e-02
  2.844	 10.36	 1.63364e+00	 5.44617e-03	 4.61646e+00	 2.72309e-02
  2.294	  9.73	 2.40192e-01	 3.21324e-02	 5.24448e-01	 1.61570e-01
  2.694	  9.35	 6.53599e-01	 2.86832e-02	 1.31070e+00	 4.62925e-02
  2.844	 10.18	 1.04519e+00	 1.45231e-02	 2.10993e+00	 3.19509e-02
  2.731	  9.69	 9.38368e-01	 2.16031e-02	 1.88074e+00	 7.71541e-02
  2.713	  9.44	 6.69908e-01	 1.05293e-02	 1.78477e+00	 3.99386e-03
  2.825	 10.42	 8.88699e-01	 2.54155e-03	 2.26158e+00	 3.06801e-02
  2.787	 10.88	 3.01245e-01	 1.00754e-01	 1.80666e+00	 4.98506e-01
  2.532	 10.28	 4.93459e-01	 1.36880e-01	 2.48506e+00	 5.14119e-01
  2.479	  9.40	 6.07960e-01	 2.12401e-02	 9.11769e-01	 4.73817e-02
  2.261	  9.85	 9.11438e-01	 8.24187e-02	 1.66434e+00	 5.40623e-01
  2.825	  9.46	 4.09875e-01	 1.37970e-02	 1.02938e+00	 4.35694e-03
  2.102	  8.69	 8.10782e-02	 2.26924e-02	 2.99389e-01	 3.46740e-01
  2.102	  9.38	 2.67529e-01	 2.14216e-02	 5.48357e-01	 3.14063e-02
  2.864	  9.63	 5.99794e-01	 2.57785e-02	 1.60401e+00	 7.75172e-02
  2.864	  9.12	 2.90836e-01	 2.72309e-03	 7.06938e-01	 1.07108e-02
  2.087	  9.04	 4.25774e-01	 1.47047e-01	 6.29635e-01	 2.27287e-01
  2.864	  9.57	 5.99126e-01	 2.36001e-03	 1.16681e+00	 9.44003e-03
  2.261	  9.21	 2.74651e-01	 9.44003e-03	 6.25885e-01	 3.59447e-02
  2.261	  9.47	 4.83943e-01	 1.72462e-02	 7.65837e-01	 4.39324e-02
  2.922	 10.14	 1.04863e+00	 1.43416e-02	 2.33799e+00	 2.28739e-01
  2.883	 10.51	 1.43322e+00	 1.99693e-02	 3.27219e+00	 7.44310e-02
  2.787	 10.18	 1.41831e+00	 2.81385e-02	 3.71734e+00	 6.76414e-01
  2.981	  9.93	 8.28039e-01	 1.23447e-02	 1.22371e+00	 4.04832e-01
  2.261	  9.28	 5.22161e-01	 1.94247e-02	 7.29126e-01	 2.90462e-02
  2.479	  8.98	 4.74953e-01	 2.32370e-02	 6.67043e-01	 2.52339e-02
  2.844	  9.17	 3.10755e-01	 7.26156e-04	 8.29390e-01	 1.08923e-03
  2.261	 10.09	 3.72199e-01	 1.13099e-01	 1.34922e+00	 4.86343e-01
  2.883	 10.64	 1.34485e+00	 7.55202e-02	 4.15165e+00	 8.56864e-02
  2.750	  9.01	 5.55905e-01	 3.52186e-02	 7.83490e-01	 3.54001e-02
  2.731	  9.77	 1.03273e+00	 2.23293e-02	 2.02370e+00	 7.22525e-02
  2.327	  9.32	 3.20146e-01	 4.32063e-02	 6.05189e-01	 8.58680e-02
  2.639	 10.00	 1.20586e+00	 7.89695e-02	 2.59749e+00	 4.28432e-02
  2.550	  9.86	 2.18207e-01	 5.26463e-02	 6.24222e-01	 2.16213e-01
  2.181	 10.22	 3.57249e-01	 2.16031e-02	 1.19896e+00	 2.28739e-02
  2.942	 10.52	 7.01681e-01	 1.31253e-01	 2.70238e+00	 4.94875e-01
  2.102	 10.29	 8.95812e-01	 3.81232e-02	 2.89568e+00	 7.09818e-02
  2.844	 10.22	 1.80815e-01	 5.44617e-03	 7.77662e-01	 1.80813e-01
  2.864	  9.54	 4.79078e-01	 4.28432e-02	 1.56085e+00	 3.63078e-01
  2.750	  9.56	 3.75648e-01	 3.72155e-02	 6.94910e-01	 2.27287e-01
  2.902	  9.62	 4.14828e-01	 1.37970e-02	 8.59202e-01	 1.60662e-01
  2.360	  9.66	 6.14550e-01	 1.97878e-02	 9.10142e-01	 1.91705e-01
  2.102	  9.89	 3.16519e-01	 9.00434e-02	 1.28637e+00	 7.24341e-02
  2.603	  9.93	 1.61057e-01	 5.28279e-02	 6.39889e-01	 2.63776e-01
  2.825	  8.96	 1.98037e+00	 4.72001e-03	 1.33936e+00	 4.90155e-03
  2.479	 10.09	 2.00670e+00	 1.10557e-01	 3.66063e+00	 1.19634e-01
  2.245	  9.51	 6.51983e-01	 7.33418e-02	 8.15252e-01	 3.26770e-02
  2.277	 10.69	 1.18443e+00	 2.24201e-01	 1.05180e+01	 2.49798e-01
  2.883	  9.78	 6.66688e-01	 1.63385e-03	 1.58112e+00	 2.37816e-02
  2.639	 11.04	 5.44541e+00	 4.64740e-02	 1.93227e+01	 2.79207e-01
  2.245	  9.05	 4.16679e-01	 5.37356e-02	 4.22089e-01	 2.88647e-02
  2.011	  9.54	 6.30648e-01	 8.27818e-02	 9.63362e-01	 6.64433e-02
  2.197	  8.99	 1.68227e-01	 2.36001e-02	 4.69351e-01	 4.22986e-02
  2.261	 10.18	 1.96578e+00	 1.32705e-01	 2.80062e+00	 5.46251e-01
  2.883	 10.84	 5.09231e-01	 7.67910e-02	 2.77571e+00	 4.83983e-01
