zp	lmass	Fu	e_Fu	Fr	e_Fr
  3.510	  9.32	 2.54842e-01	 3.99386e-03	 3.86137e-01	 6.71694e-03
  3.269	 10.52	 8.30004e-01	 2.70493e-02	 2.28154e+00	 4.17540e-02
  3.185	  9.52	 2.96482e-01	 8.53233e-03	 5.88448e-01	 3.99386e-03
  4.083	  9.51	 3.86573e-01	 1.99693e-03	 6.58319e-01	 6.71694e-03
  3.693	  9.40	 1.29528e-01	 2.34185e-02	 2.88705e-01	 3.92124e-02
  3.123	  9.44	 4.00079e-01	 5.99079e-03	 6.38821e-01	 2.41447e-02
  3.510	  9.59	 2.87747e-01	 8.16926e-03	 3.72580e-01	 4.15724e-02
  3.227	  9.41	 1.83911e-01	 2.65047e-02	 2.97141e-01	 1.97878e-02
  3.421	  9.66	 3.87717e-01	 5.26463e-03	 7.77230e-01	 5.80925e-03
  3.061	  9.58	 4.51459e-01	 1.45231e-02	 6.01718e-01	 1.85170e-02
  4.160	 10.43	 9.00067e-01	 4.44771e-02	 2.07478e+00	 1.88801e-02
  3.670	  8.77	 5.51189e-01	 7.26156e-04	 1.57310e+00	 5.75479e-02
  3.884	 10.46	 2.69612e-01	 5.62771e-03	 1.30759e+00	 1.44687e-01
  3.693	 10.53	 2.08490e-01	 4.42955e-02	 1.53668e+00	 9.96649e-02
  4.673	  8.95	 1.37144e+00	 1.44142e-01	 1.01766e+00	 2.16031e-01
  4.644	 11.19	 9.19698e-01	 5.14482e-01	 9.33677e+00	 9.59252e-01
  3.740	  9.69	 1.01814e+00	 8.89541e-02	 1.27758e+00	 1.52493e-01
  3.860	 10.03	 6.23184e-01	 7.80618e-03	 1.39082e+00	 1.45231e-02
  3.624	 10.22	 2.98652e-01	 2.26924e-02	 8.70345e-01	 7.24341e-02
  3.860	  9.81	 7.04419e-01	 4.42955e-02	 1.07367e+00	 7.66095e-02
  3.884	 10.07	 2.96036e-01	 4.77448e-02	 1.14879e+00	 4.06284e-01
  3.123	  9.99	 9.49928e-01	 9.25849e-03	 1.72979e+00	 1.10739e-02
  4.186	  9.42	 2.39438e-01	 3.63078e-04	 2.97115e-01	 1.08923e-03
  4.933	 11.89	 1.73506e+00	 2.48345e-01	 2.82856e+01	 2.36908e-01
  4.904	 10.69	 2.58072e-01	 2.16031e-02	 1.74580e+00	 4.17540e-02
  3.884	 11.07	 3.19643e+00	 3.58903e-01	 9.56431e+00	 1.99584e+00
  4.186	  9.44	 1.78479e-01	 3.08616e-03	 2.76275e-01	 1.27077e-03
