zp	lmass	Fu	e_Fu	Fr	e_Fr
  3.812	 11.83	 1.37368e+02	 0.00000e+00	 1.14180e+03	 0.00000e+00
  4.874	 10.51	 2.05257e+01	 6.82587e-02	 1.35187e+01	 7.64279e-02
  3.206	 10.14	 9.95829e-01	 1.23447e-02	 1.87408e+00	 2.92278e-02
  3.578	  9.73	 5.83644e-01	 7.60649e-02	 9.52989e-01	 8.78649e-02
  3.465	  9.42	 3.31392e-01	 6.17233e-03	 5.35453e-01	 1.43416e-02
  3.647	  9.97	 4.72673e-01	 5.86371e-02	 1.24791e+00	 2.66318e-01
  3.164	  9.85	 7.40113e-01	 1.94247e-02	 1.07469e+00	 7.44310e-03
  3.647	 11.47	 2.30437e+01	 2.01508e-02	 5.57583e+01	 1.87802e+00
  7.370	 14.38	 1.59115e-02	 0.00000e+00	 4.27484e-02	 0.00000e+00
  4.033	 10.70	 1.33519e+00	 9.33111e-02	 6.84881e+00	 3.28767e-01
  3.647	 10.13	 1.08646e+00	 7.26156e-02	 2.09650e+00	 4.63832e-01
  4.008	 11.05	 7.57141e+00	 2.10948e-01	 1.42443e+01	 4.32063e-02
  3.740	 10.14	 7.92621e-01	 9.74865e-02	 2.42057e+00	 6.27036e-01
  3.717	 10.66	 5.39654e-01	 7.44310e-02	 1.97212e+00	 2.55425e-01
  3.355	  9.95	 5.98095e-01	 5.99079e-03	 1.14642e+00	 4.13909e-02
  4.212	 10.17	 2.84123e-01	 2.17847e-03	 1.05740e+00	 5.62771e-03
  4.317	 11.10	 8.32672e-01	 4.28432e-02	 5.36851e+00	 6.60802e-02
  4.397	  9.93	 5.58519e-01	 1.57939e-02	 1.24624e+00	 1.59754e-02
  6.728	  9.64	 1.08353e+00	 1.02947e+01	 2.64345e+00	 7.02865e+00
  4.424	 10.06	 7.32692e-01	 2.79570e-02	 1.21175e+00	 1.18000e-02
  3.061	 10.48	 1.66781e+00	 7.67910e-02	 4.07962e+00	 3.91943e-01
  6.767	  9.51	 5.02348e+00	 2.34222e+00	 2.64822e+00	 1.45576e+00
  3.647	  8.62	 5.29499e-01	 1.70647e-01	 7.37840e-01	 2.27105e-01
  9.424	  9.01	 1.52215e+00	 7.22525e-01	 9.90499e-01	 4.13546e-01
  3.061	  9.35	 2.75615e-01	 2.97724e-02	 3.54176e-01	 4.95602e-02
  3.399	  9.73	 2.68633e-01	 1.97878e-02	 7.63390e-01	 2.81385e-02
  3.812	  9.91	 1.35224e-01	 2.92278e-02	 8.25716e-01	 1.05474e-01
  9.476	  9.62	 4.73454e+00	 2.24963e+00	 2.61383e+00	 1.26950e+00
  3.082	  9.54	 3.14890e-01	 7.98772e-03	 1.10531e+00	 2.52158e-01
  4.083	 10.05	 9.10749e-01	 1.32523e-02	 1.16646e+00	 9.44003e-03
  3.041	 10.57	 6.08414e-01	 1.30708e-02	 2.06414e+00	 1.59754e-02
  3.185	  9.77	 4.43224e-01	 1.94247e-02	 9.93933e-01	 6.11787e-02
  4.673	 10.06	 7.05236e-01	 9.07695e-03	 1.28470e+00	 7.26156e-03
  3.290	  9.64	 2.68756e-01	 2.17847e-03	 3.71806e-01	 9.80311e-03
  6.767	  9.34	 2.63448e+00	 1.25099e+00	 1.82448e+00	 7.73719e-01
  6.767	  8.67	 4.27858e-01	 1.91814e+00	 9.19386e-01	 1.18000e+00
  3.601	  9.62	 2.07220e-01	 5.08309e-03	 3.17948e-01	 3.06801e-02
  6.728	  8.87	 1.38912e+00	 5.24648e-01	 1.11967e+00	 3.50733e-01
  3.082	  9.81	 7.08699e-01	 2.26924e-02	 1.17274e+00	 6.72057e-01
  3.102	  9.05	 2.95446e-01	 1.20360e-01	 2.74694e-01	 7.37048e-02
  3.601	 10.13	 9.82054e-01	 6.42648e-02	 1.54905e+00	 1.25262e-01
  4.397	 10.07	 3.63314e-01	 2.85016e-02	 9.31676e-01	 1.56124e-02
