zp	lmass	Fu	e_Fu	Fr	e_Fr
  2.229	 10.83	 1.17155e+00	 1.10376e-01	 4.26370e+00	 1.73370e-01
  2.041	  9.80	 1.62569e+00	 6.60802e-02	 3.67755e+00	 5.21925e-01
  2.961	 10.53	 9.81614e-01	 2.95909e-02	 3.62805e+00	 2.00238e-01
  2.750	  9.91	 9.97143e-01	 1.67016e-02	 2.35551e+00	 2.24201e-01
  2.769	  9.98	 2.52307e-01	 3.10432e-02	 1.06845e+00	 7.35233e-02
  2.277	  9.82	 1.04148e+00	 6.89848e-02	 1.72122e+00	 3.03170e-02
  2.072	  9.67	 3.56503e-01	 5.04678e-02	 8.44999e-01	 3.63078e-02
  2.550	 10.94	 1.99876e+00	 1.94247e-01	 7.05929e+00	 5.36085e-01
  2.942	  9.06	 3.55700e-01	 1.01662e-02	 4.44466e-01	 2.66862e-02
  2.445	  9.79	 5.07826e-01	 4.52032e-02	 1.05148e+00	 5.28279e-02
  2.087	  9.12	 1.29386e-01	 3.19509e-02	 1.95230e-01	 9.22218e-02
  2.479	  9.68	 5.73801e-01	 3.77601e-02	 1.08577e+00	 2.59601e-01
  2.261	  9.69	 1.14757e-01	 4.03017e-02	 3.56923e-01	 6.64433e-02
  2.981	  8.68	 4.72895e-01	 2.25108e-02	 4.37219e-01	 1.72462e-02
  2.981	 10.41	 4.59290e-01	 4.44771e-02	 1.69259e+00	 2.71219e-01
  2.165	  9.00	 9.37202e-02	 1.32523e-02	 1.85596e-01	 1.03477e-02
  2.922	  9.11	 1.02022e-01	 2.14216e-02	 1.03503e-01	 6.11787e-02
  2.428	  8.97	 2.75273e-01	 3.86678e-02	 3.50564e-01	 7.58833e-02
  2.532	  9.66	 6.44126e-01	 4.35694e-02	 1.07293e+00	 1.69557e-01
  2.961	  9.26	 1.19019e-01	 1.99693e-03	 2.73107e-01	 2.92278e-02
  2.056	 10.03	 2.62683e-01	 4.99232e-02	 1.23789e+00	 1.09468e-01
  2.567	 10.16	 5.23577e-01	 4.99232e-02	 1.48514e+00	 2.34730e-01
  2.532	  9.47	 2.92252e-01	 3.97570e-02	 5.58124e-01	 1.28167e-01
  2.961	  9.22	 1.70222e-01	 1.90616e-02	 3.12631e-01	 3.17693e-02
  2.864	 10.15	 7.37165e-01	 1.97878e-02	 1.99802e+00	 8.71387e-02
  2.694	  9.64	 4.62169e-02	 2.17847e-03	 3.71385e-01	 4.75632e-02
  2.676	  8.84	 4.34020e-01	 8.64126e-02	 4.58637e-01	 1.15459e-01
  2.011	  9.94	 2.12799e-01	 5.10125e-02	 1.27268e+00	 8.67757e-02
  2.825	  9.24	 2.82656e-01	 3.30401e-02	 3.16892e-01	 4.22986e-02
  2.787	  9.03	 4.83576e-01	 1.16185e-02	 5.35936e-01	 6.75325e-02
  2.883	  9.02	 2.82033e-01	 5.66402e-02	 3.40687e-01	 4.95602e-02
  2.149	 10.21	 8.13640e-01	 6.13602e-02	 1.96021e+00	 4.08463e-02
  2.011	 10.89	 8.63509e-01	 1.04203e-01	 3.96216e+00	 2.43988e-01
  2.181	  8.87	 9.23649e-02	 4.59294e-02	 2.97512e-01	 3.21324e-02
  2.197	  9.49	 4.00559e-01	 2.65047e-02	 6.97393e-01	 2.92278e-02
  2.825	  9.58	 2.48412e-01	 8.35080e-03	 6.52143e-01	 6.73510e-02
  2.197	 10.54	 1.64864e-01	 5.15571e-02	 1.00173e+00	 2.78662e-01
  2.657	  9.63	 8.08782e-01	 1.65745e-01	 1.11732e+00	 1.66108e-01
  2.428	  9.30	 4.06542e-01	 6.57171e-02	 5.67411e-01	 4.72001e-02
  2.961	  9.01	 1.25808e-01	 5.26463e-03	 1.67096e-01	 4.61109e-02
  2.942	  9.51	 9.19473e-01	 1.27077e-02	 1.02512e+00	 3.99386e-03
  2.462	  8.92	 1.37209e-01	 1.21631e-02	 2.15922e-01	 4.13909e-02
  2.229	 10.06	 1.22001e+00	 4.17540e-02	 2.25751e+00	 5.01048e-02
  2.532	  8.71	 1.67297e-01	 1.19816e-02	 2.05249e-01	 6.04525e-02
  2.213	  9.67	 9.17273e-01	 1.86985e-02	 1.40102e+00	 3.30401e-02
  2.961	  9.71	 3.70369e-01	 1.74277e-02	 8.56737e-01	 2.34185e-02
  2.462	  9.26	 1.38464e-01	 2.59601e-02	 2.19797e-01	 3.52186e-02
  2.165	  9.49	 4.91619e-01	 6.33571e-02	 6.89667e-01	 7.73356e-02
  2.213	 10.15	 8.21682e-01	 4.13909e-02	 2.12913e+00	 4.57478e-02
  2.731	  9.74	 2.49137e-01	 3.77601e-02	 6.88167e-01	 7.15264e-02
  2.676	  8.35	 3.40303e-01	 2.36001e-03	 2.71647e-01	 2.26924e-02
