zp	lmass	Fu	e_Fu	Fr	e_Fr
  1.124	 10.60	 1.05358e+00	 4.28432e-02	 7.23473e+00	 2.60327e-01
  1.592	  9.88	 1.61561e+00	 2.33822e-01	 2.74054e+00	 1.81721e-01
  1.010	  8.81	 7.17155e-01	 4.70186e-02	 1.54718e+00	 1.28893e-02
  1.266	  9.63	 6.50545e-01	 1.22902e-01	 2.09916e+00	 1.11283e-01
  1.430	  9.39	 1.00549e+00	 2.15124e-01	 1.29564e+00	 9.11326e-02
  1.981	  9.43	 8.49348e-01	 4.24801e-02	 1.49579e+00	 1.68105e-01
  1.370	  8.96	 4.08913e-01	 5.77294e-02	 4.93496e-01	 4.19355e-02
  1.113	  9.28	 7.61396e-01	 3.55816e-02	 1.70712e+00	 4.48401e-02
  1.618	  9.05	 6.53442e-02	 4.95602e-02	 2.18245e-01	 1.46139e-01
  1.188	  9.02	 6.40455e-02	 3.35847e-02	 2.41866e-01	 6.64433e-02
  1.041	  8.74	 1.98471e-01	 1.94247e-02	 3.05569e-01	 7.51572e-02
  1.277	  9.99	 6.47826e-01	 9.36741e-02	 3.14368e+00	 9.47634e-02
  1.370	  9.19	 1.20170e-01	 5.70033e-02	 4.58077e-01	 9.89388e-02
  1.082	  9.78	 2.14260e+00	 6.80771e-02	 5.37334e+00	 1.17456e-01
  1.124	 10.21	 5.49392e-01	 3.93940e-02	 3.55241e+00	 1.13643e-01
  1.243	  9.28	 4.27819e-01	 1.01662e-01	 6.22309e-01	 9.13141e-02
  1.541	  9.06	 4.66962e-01	 9.13141e-02	 7.06052e-01	 6.48094e-02
  1.092	 11.44	 5.67171e+02	 3.37844e-01	 1.49880e+03	 3.88494e-01
  1.346	  9.37	 6.63431e-01	 2.06410e-01	 1.28200e+00	 1.85533e-01
  1.145	  9.18	 3.37363e-01	 4.06647e-02	 9.13069e-01	 4.01201e-02
  1.479	 10.19	 1.95899e+00	 1.18000e-01	 4.79942e+00	 1.81357e-01
  1.996	  9.28	 1.29590e+00	 6.06340e-02	 1.18027e+00	 4.52032e-02
  1.188	 10.26	 4.66671e+00	 5.02645e+00	 6.46660e+00	 1.73515e+00
  1.243	  9.21	 7.51448e-01	 1.23083e-01	 1.38520e+00	 9.76680e-02
  1.134	  8.93	 3.56680e-01	 3.43109e-02	 7.46663e-01	 2.16031e-02
  1.541	  8.76	 3.84293e-01	 9.34926e-02	 5.30399e-01	 6.31756e-02
  1.346	  8.74	 4.42490e-01	 4.66555e-02	 6.22733e-01	 3.32216e-02
  1.010	  8.78	 3.95686e-01	 1.01662e-02	 6.87583e-01	 4.32063e-02
  1.010	  9.28	 1.27118e+00	 5.50063e-02	 2.88382e+00	 6.42648e-02
  1.491	  9.05	 4.77005e-01	 8.31449e-02	 7.10627e-01	 6.48094e-02
  1.358	 10.33	 2.50538e+00	 1.86078e-01	 8.56901e+00	 7.64824e-01
  1.836	  9.39	 7.32688e-01	 2.79570e-02	 1.05077e+00	 3.21324e-02
  1.698	 10.34	 1.10391e+00	 2.23111e-01	 3.93395e+00	 4.85435e-01
  1.312	  9.34	 3.48523e-01	 3.84863e-02	 9.28899e-01	 1.19634e-01
  1.966	  9.59	 6.36432e-01	 6.11787e-02	 1.02942e+00	 5.06494e-02
  1.243	  9.97	 1.71747e+00	 1.15640e-01	 7.16709e+00	 1.46684e-01
  1.850	  9.55	 6.49543e-01	 2.32188e-01	 1.34583e+00	 1.86985e-01
  1.030	  8.74	 4.86840e-01	 5.22832e-02	 7.78672e-01	 5.79109e-02
  1.504	  9.66	 9.61158e-01	 1.65745e-01	 1.59795e+00	 9.38557e-02
  1.243	 10.61	 7.63746e-01	 1.00210e-01	 6.56013e+00	 5.57869e-01
  1.145	  9.53	 4.64932e-01	 2.85016e-02	 1.53139e+00	 5.80925e-02
  1.822	  8.92	 4.54890e-01	 1.57939e-02	 5.30628e-01	 4.19355e-02
  1.671	  8.65	 6.07607e-01	 6.44464e-02	 6.40128e-01	 3.01355e-02
  1.103	  8.92	 4.73087e-01	 1.99693e-03	 8.80217e-01	 7.26156e-03
  1.266	  8.31	 3.06799e-01	 1.77908e-02	 5.57387e-01	 3.01355e-02
  1.010	  8.62	 5.29989e-01	 2.50524e-02	 8.81027e-01	 9.25849e-03
  1.370	  9.61	 4.35690e-01	 9.49449e-02	 1.07535e+00	 1.75548e-01
  1.922	  9.65	 1.38806e+00	 1.90798e-01	 1.81116e+00	 1.27440e-01
  1.966	  8.86	 1.20433e+00	 5.86371e-02	 8.89603e-01	 1.98604e-01
  1.632	 10.04	 1.44715e+00	 2.30555e-01	 2.67093e+00	 9.49449e-02
  1.177	  8.77	 2.05637e-01	 4.13909e-02	 4.27844e-01	 3.23139e-02
  1.937	  9.02	 2.46908e-01	 4.70186e-02	 3.57704e-01	 6.44464e-02
  1.166	  8.93	 6.21782e-01	 5.26463e-02	 1.20369e+00	 1.28711e-01
  1.041	  8.94	 2.43043e-01	 2.46893e-02	 6.44282e-01	 1.83354e-02
