zp	lmass	Fu	e_Fu	Fr	e_Fr
  0.015	  9.74	 8.25044e+04	 1.04526e+03	 1.33007e+04	 1.30480e+02
  0.227	 10.79	 1.57248e+01	 2.81948e+00	 1.22863e+02	 2.10416e+01
  0.138	 10.15	 9.32682e+00	 2.82112e-01	 8.58393e+01	 1.38351e+00
  0.185	  9.92	 1.64664e+01	 2.66318e+00	 7.32797e+01	 5.07692e+00
  1.000	  8.73	 7.31443e-01	 1.85170e-02	 1.61240e+00	 4.95602e-02
  0.567	 11.24	 7.78403e+00	 0.00000e+00	 7.41122e+01	 0.00000e+00
  0.446	  8.66	 3.84863e-01	 9.34926e-02	 1.96654e+00	 5.72937e-01
  0.309	 10.69	 2.92466e+01	 7.64824e-01	 1.76917e+02	 5.02700e+00
  0.810	 10.75	 2.98919e+00	 0.00000e+00	 3.75365e+01	 0.00000e+00
  0.875	 10.95	 2.33592e+00	 5.04860e-01	 1.41281e+01	 1.52293e+00
  0.559	 10.11	 1.89433e+00	 2.39995e-01	 1.25882e+01	 8.70843e-01
  0.606	 10.52	 7.13445e+00	 2.21115e-01	 5.06617e+01	 4.89429e-01
  0.490	 11.04	 1.14241e+01	 1.51422e+00	 8.59831e+01	 4.39887e+00
  0.590	 10.73	 9.61881e+00	 2.67770e-01	 6.69229e+01	 5.99079e-01
  0.828	 10.26	 1.85974e+00	 1.14914e-01	 1.11616e+01	 4.32244e-01
  0.819	  9.94	 5.63679e-01	 8.29633e-02	 3.83821e+00	 3.14426e-01
  0.528	 10.47	 2.49410e+00	 6.99470e-01	 1.77847e+01	 4.62943e+00
  0.418	  8.56	 2.11212e+00	 6.49910e-01	 3.11144e+00	 3.48736e-01
  0.015	  8.80	 9.80082e+02	 1.90429e+02	 1.44619e+04	 9.62286e+01
  0.680	  9.80	 9.78161e-01	 1.97514e-01	 1.83588e+00	 6.19048e-01
  0.680	  8.73	 1.00468e+00	 1.01662e-02	 1.86316e+00	 1.08923e-03
  0.490	  8.51	 2.53066e-01	 5.04678e-02	 7.17090e-01	 4.73817e-02
  0.316	  9.46	 2.43867e+01	 6.18322e-01	 4.89923e+01	 8.07486e-01
  0.792	  9.16	 1.82926e+00	 4.79263e-02	 3.61355e+00	 1.12917e-01
  0.005	  5.47	 1.10134e+00	 1.85333e+00	 3.46437e+00	 1.42690e-01
  0.875	  9.45	 1.05387e+00	 1.98785e-01	 2.85191e+00	 3.43653e-01
  0.638	 10.31	 6.99270e-01	 1.32705e-01	 7.34344e+00	 7.67729e-01
  0.411	 10.04	 4.52791e-01	 1.60299e-01	 7.83875e-01	 4.30247e-01
  0.567	 10.41	 2.69653e+00	 3.05530e-01	 1.20543e+01	 1.24518e+00
  0.622	  8.23	 1.23802e-01	 1.23447e-02	 4.10558e-01	 2.01508e-02
